[sound:s-0281_彼は私の前に立っています。.mp3]	<b>前</b> <br> 彼は私の前に立っています。<br> かれはわたしのまえにたっています <br>He is standing in front of me.
生活	[sound:k-0282_生活.mp3]<br>せいかつ <br> living, life (one's daily existence), livelihood
living, life (one's daily existence), livelihood	<b>生活<b> <br> せいかつ <br>[sound:k-0282_生活.mp3]
[sound:k-0282_生活.mp3]	living, life<br> <b>one's daily existence), livelihood (生活</b> <br> (せいかつ)
<b>前後</b> <br> バスの到着時間は5分前後です。	[sound:s-0282_バスの到着時間は5分前後です。.mp3] <br> ばすのとうちゃくじかんはごふんぜんごです。 <br>The bus arrival time is around 5 minutes before or after.
[sound:s-0282_バスの到着時間は5分前後です。.mp3]	<b>前後</b> <br> バスの到着時間は5分前後です。<br> ばすのとうちゃくじかんはごふんぜんごです <br>The bus arrival time is around 5 minutes before or after.
生産	[sound:k-0283_生産.mp3]<br>せいさん <br> production, manufacture
production, manufacture	<b>生産<b> <br> せいさん <br>[sound:k-0283_生産.mp3]
[sound:k-0283_生産.mp3]	production, manufacture<br> <b>生産</b> <br> (せいさん)
<b>前述</b> <br> 前述の事柄をもう一度確認します。	[sound:s-0283_前述の事柄をもう一度確認します。.mp3] <br> ぜんじゅつのじがらをもういちどかくにんします。 <br>Let's review the aforementioned matters once again.
[sound:s-0283_前述の事柄をもう一度確認します。.mp3]	<b>前述</b> <br> 前述の事柄をもう一度確認します。<br> ぜんじゅつのじがらをもういちどかくにんします <br>Let's review the aforementioned matters once again.
厚生省	[sound:k-0284_厚生省.mp3]<br>こうせいしょう <br> Ministry of Health and Welfare (now Ministry of Health, Labour and Welfare)
Ministry of Health and Welfare (now Ministry of Health, Labour and Welfare)	<b>厚生省<b> <br> こうせいしょう <br>[sound:k-0284_厚生省.mp3]
[sound:k-0284_厚生省.mp3]	Ministry of Health and Welfare<br> <b>now Ministry of Health, Labour and Welfare) (厚生省</b> <br> (こうせいしょう)
<b>以前</b> <br> 彼女に会うのは以前からの夢でした。	[sound:s-0284_彼女に会うのは以前からの夢でした。.mp3] <br> かのじょにあうのはいぜんからのゆめでした。 <br>Meeting her has been a dream since before.
[sound:s-0284_彼女に会うのは以前からの夢でした。.mp3]	<b>以前</b> <br> 彼女に会うのは以前からの夢でした。<br> かのじょにあうのはいぜんからのゆめでした <br>Meeting her has been a dream since before.
新生	[sound:k-0285_新生.mp3]<br>しんせい <br> rebirth, new birth, nascent
rebirth, new birth, nascent	<b>新生<b> <br> しんせい <br>[sound:k-0285_新生.mp3]
[sound:k-0285_新生.mp3]	rebirth, new birth, nascent<br> <b>新生</b> <br> (しんせい)
