feeling, mood	<b>気分<b> <br> きぶん <br>[sound:k-1127_気分.mp3]
[sound:k-1127_気分.mp3]	feeling, mood<br> <b>気分</b> <br> (きぶん)
(<b>組長</b>) そのヤクザの組長が逮捕されました。	[sound:s-1127_そのヤクザの組長が逮捕されました。.mp3] <br> そのやくざのくみちょうがたいほされました。 <br> The Yakuza boss was arrested.
[sound:s-1117_中央銀行は金利を利下げしました。.mp3]	(<b>利下げ</b>) 中央銀行は金利を利下げしました。<br> ちゅうおうぎんこうはきんりをりさげしました。 <br>The central bank lowered interest rates.	
空気	[sound:k-1128_空気.mp3]<br>くうき <br> air, atmosphere
air, atmosphere	<b>空気<b> <br> くうき <br>[sound:k-1128_空気.mp3]
[sound:k-1128_空気.mp3]	air, atmosphere<br> <b>空気</b> <br> (くうき)
(<b>知る</b>) 彼はその秘密を知っています。	[sound:s-1128_彼はその秘密を知っています。.mp3] <br> かれはそのひみつをしっています。 <br> He knows the secret.
[sound:s-1118_彼は政治組織の一員です。.mp3]	(<b>組</b>) 彼は政治組織の一員です。<br> かれはせいじそしきのいちいんです。 <br>He is a member of a political organization.	
雰囲気	[sound:k-1129_雰囲気.mp3]<br>ふんいき <br> atmosphere (e.g. musical), mood, ambience, ambiance
atmosphere (e.g. musical), mood, ambience, ambiance	<b>雰囲気<b> <br> ふんいき <br>[sound:k-1129_雰囲気.mp3]
[sound:k-1129_雰囲気.mp3]	atmosphere<br> <b>e.g. musical), mood, ambience, ambiance (雰囲気</b> <br> (ふんいき)
(<b>知事</b>) 彼は地方の知事です。	[sound:s-1129_彼は地方の知事です。.mp3] <br> かれはちほうのちじです。 <br> He is the governor of the region.
[sound:s-1119_この会社は優れた組織を持っています。.mp3]	(<b>組織</b>) この会社は優れた組織を持っています。<br> このかいしゃはすぐれたそしきをもっています。 <br>This company has an excellent organization.	
小選挙区	[sound:k-1130_小選挙区.mp3]<br>しょうせんきょく <br> small electoral district, single-member constituency
small electoral district, single-member constituency	<b>小選挙区<b> <br> しょうせんきょく <br>[sound:k-1130_小選挙区.mp3]
[sound:k-1130_小選挙区.mp3]	small electoral district, single-member constituency<br> <b>小選挙区</b> <br> (しょうせんきょく)
(<b>知らん顔</b>) 彼は私の質問に知らん顔をしていました。	[sound:s-1130_彼は私の質問に知らん顔をしていました。.mp3] <br> かれはわたしのしつもんにしらんがおをしていました。 <br> He ignored my question.
[sound:s-1120_今夜のテレビ番組は面白そうです。.mp3]	(<b>番組</b>) 今夜のテレビ番組は面白そうです。<br> こんやのてれびばんぐみはおもしろそうです。 <br>Tonight's TV program seems interesting.	
小学校	[sound:k-1131_小学校.mp3]<br>しょうがっこう <br> primary school, elementary school, grade school
primary school, elementary school, grade school	<b>小学校<b> <br> しょうがっこう <br>[sound:k-1131_小学校.mp3]
[sound:k-1131_小学校.mp3]	primary school, elementary school, grade school<br> <b>小学校</b> <br> (しょうがっこう)
(<b>県知事</b>) 県知事は地域の政治を担当します。	[sound:s-1131_県知事は地域の政治を担当します。.mp3] <br> けんちじはちいきのせいじをたんとうします。 <br> The prefectural governor is responsible for local politics.
[sound:s-1121_労働者たちは組合を結成しました。.mp3]	(<b>組合</b>) 労働者たちは組合を結成しました。<br> ろうどうしゃたちはくみあいをけっせいしました。 <br>The workers formed a union.	
小説	[sound:k-1132_小説.mp3]<br>しょうせつ <br> novel, (short) story
novel, (short) story	<b>小説<b> <br> しょうせつ <br>[sound:k-1132_小説.mp3]
[sound:k-1132_小説.mp3]	novel,<br> <b>short) story (小説</b> <br> (しょうせつ)
(<b>知識</b>) 知識は力です。	[sound:s-1132_知識は力です。.mp3] <br> ちしきはちからです。 <br> Knowledge is power.
[sound:s-1122_その企業には強力な労組があります。.mp3]	(<b>労組</b>) その企業には強力な労組があります。<br> そのきぎょうにはきょうりょくなろうくみがあります。 <br>The company has a strong labor union.	
小学生	[sound:k-1133_小学生.mp3]<br>しょうがくせい <br> elementary school student, primary school student, grade school student
elementary school student, primary school student, grade school student	<b>小学生<b> <br> しょうがくせい <br>[sound:k-1133_小学生.mp3]
[sound:k-1133_小学生.mp3]	elementary school student, primary school student, grade school student<br> <b>小学生</b> <br> (しょうがくせい)
(<b>知人</b>) 彼は私の知人です。	[sound:s-1133_彼は私の知人です。.mp3] <br> かれはわたしのちじんです。 <br> He is an acquaintance of mine.
[sound:s-1123_この装置の仕組みを理解するのは難しいです。.mp3]	(<b>仕組み</b>) この装置の仕組みを理解するのは難しいです。<br> このそうちのしくみをりかいするのはむずかしいです。 <br>Understanding the mechanism of this device is difficult.	
中小企業	[sound:k-1134_中小企業.mp3]<br>ちゅうしょうきぎょう <br> small to medium enterprises, smaller companies
small to medium enterprises, smaller companies	<b>中小企業<b> <br> ちゅうしょうきぎょう <br>[sound:k-1134_中小企業.mp3]
[sound:k-1134_中小企業.mp3]	small to medium enterprises, smaller companies<br> <b>中小企業</b> <br> (ちゅうしょうきぎょう)
(<b>知恵</b>) 彼女は非常に賢い知恵を持っています。	[sound:s-1134_彼女は非常に賢い知恵を持っています。.mp3] <br> かのじょはひじょうにかしこいちえをもっています。 <br> She has very wise wisdom.
[sound:s-1124_この計画は新しい枠組みの下で進められます。.mp3]	(<b>枠組み</b>) この計画は新しい枠組みの下で進められます。<br> このけいかくはあたらしいわくぐみのしたですすめられます。 <br>This project will proceed under a new framework.	
小学	[sound:k-1135_小学.mp3]<br>しょうがく <br> elementary school, primary school, grade school
elementary school, primary school, grade school	<b>小学<b> <br> しょうがく <br>[sound:k-1135_小学.mp3]
[sound:k-1135_小学.mp3]	elementary school, primary school, grade school<br> <b>小学</b> <br> (しょうがく)
(<b>知的</b>) 彼は知的な会話が得意です。	[sound:s-1135_彼は知的な会話が得意です。.mp3] <br> かれはちてきなかいわがとくいです。 <br> He is skilled in intellectual conversation.
[sound:s-1125_学校は環境問題に取り組んでいます。.mp3]	(<b>取り組み</b>) 学校は環境問題に取り組んでいます。<br> がっこうはかんきょうもんだいにとりくんでいます。 <br>The school is addressing environmental issues.	
小型	[sound:k-1136_小型.mp3]<br>こがた <br> small size, tiny
small size, tiny	<b>小型<b> <br> こがた <br>[sound:k-1136_小型.mp3]
[sound:k-1136_小型.mp3]	small size, tiny<br> <b>小型</b> <br> (こがた)
(<b>通知</b>) 変更があった場合は通知します。	[sound:s-1136_変更があった場合は通知します。.mp3] <br> へんこうがあったばあいはつうちします。 <br> We will notify you in case of any changes.
[sound:s-1126_労働組合は労働者の権利を守るために存在します。.mp3]	(<b>労働組合</b>) 労働組合は労働者の権利を守るために存在します。<br> ろうどうくみあいはろうどうしゃのけんりをまもるためにそんざいします。 <br>Labor unions exist to protect the rights of workers.	
縮小	[sound:k-1137_縮小.mp3]<br>しゅくしょう <br> reduction, curtailment
reduction, curtailment	<b>縮小<b> <br> しゅくしょう <br>[sound:k-1137_縮小.mp3]
[sound:k-1137_縮小.mp3]	reduction, curtailment<br> <b>縮小</b> <br> (しゅくしょう)
(<b>副知事</b>) 彼は副知事として働いています。	[sound:s-1137_彼は副知事として働いています。.mp3] <br> かれはふくちじとしてはたらいています。 <br> He works as a deputy governor.
[sound:s-1127_そのヤクザの組長が逮捕されました。.mp3]	(<b>組長</b>) そのヤクザの組長が逮捕されました。<br> そのやくざのくみちょうがたいほされました。 <br>The Yakuza boss was arrested.	
小川	[sound:k-1138_小川.mp3]<br>おがわ <br> streamlet, brook
streamlet, brook	<b>小川<b> <br> おがわ <br>[sound:k-1138_小川.mp3]
[sound:k-1138_小川.mp3]	streamlet, brook<br> <b>小川</b> <br> (おがわ)
(<b>法案</b>) 新しい法案が議会で審議されています。	[sound:s-1138_新しい法案が議会で審議されています。.mp3] <br> あたらしいほうあんがぎかいでしんぎされています。 <br> The new bill is being deliberated in parliament.
[sound:s-1128_彼はその秘密を知っています。.mp3]	(<b>知る</b>) 彼はその秘密を知っています。<br> かれはそのひみつをしっています。 <br>He knows the secret.	
小島	[sound:k-1139_小島.mp3]<br>こじま <br> small island, islet
small island, islet	<b>小島<b> <br> こじま <br>[sound:k-1139_小島.mp3]
[sound:k-1139_小島.mp3]	small island, islet<br> <b>小島</b> <br> (こじま)
(<b>提案</b>) 彼の提案は議論を呼びました。	[sound:s-1139_彼の提案は議論を呼びました。.mp3] <br> かれのていあんはぎろんをよびました。 <br> His proposal sparked a debate.
[sound:s-1129_彼は地方の知事です。.mp3]	(<b>知事</b>) 彼は地方の知事です。<br> かれはちほうのちじです。 <br>He is the governor of the region.	
七	[sound:k-1140_七.mp3]<br>しち, なな, な <br> seven
seven	<b>七<b> <br> しち, なな, な <br>[sound:k-1140_七.mp3]
[sound:k-1140_七.mp3]	seven<br> <b>七</b> <br> (しち, なな, な)
(<b>廃案</b>) その計画は廃案になりました。	[sound:s-1140_その計画は廃案になりました。.mp3] <br> そのけいかくははいあんになりました。 <br> The plan was scrapped.
[sound:s-1130_彼は私の質問に知らん顔をしていました。.mp3]	(<b>知らん顔</b>) 彼は私の質問に知らん顔をしていました。<br> かれはわたしのしつもんにしらんがおをしていました。 <br>He ignored my question.	
七月	[sound:k-1141_七月.mp3]<br>しちがつ <br> July
July	<b>七月<b> <br> しちがつ <br>[sound:k-1141_七月.mp3]
[sound:k-1141_七月.mp3]	July<br> <b>七月</b> <br> (しちがつ)
(<b>懸案</b>) その問題は未だに懸案です。	[sound:s-1141_その問題は未だに懸案です。.mp3] <br> そのもんだいはいまだにけんあんです。 <br> The issue is still pending.
[sound:s-1131_県知事は地域の政治を担当します。.mp3]	(<b>県知事</b>) 県知事は地域の政治を担当します。<br> けんちじはちいきのせいじをたんとうします。 <br>The prefectural governor is responsible for local politics.	
十七	[sound:k-1142_十七.mp3]<br>じゅうしち, じゅうなな <br> 17, seventeen
17, seventeen	<b>十七<b> <br> じゅうしち, じゅうなな <br>[sound:k-1142_十七.mp3]
[sound:k-1142_十七.mp3]	17, seventeen<br> <b>十七</b> <br> (じゅうしち, じゅうなな)
(<b>原案</b>) 彼はそのプロジェクトの原案を提出しました。	[sound:s-1142_彼はそのプロジェクトの原案を提出しました。.mp3] <br> かれはそのぷろじぇくとのげんあんをていしゅつしました。 <br> He submitted the original plan for the project.
[sound:s-1132_知識は力です。.mp3]	(<b>知識</b>) 知識は力です。<br> ちしきはちからです。 <br>Knowledge is power.	
七十	[sound:k-1143_七十.mp3]<br>しちじゅう, ななじゅう, ななそ <br> seventy
seventy	<b>七十<b> <br> しちじゅう, ななじゅう, ななそ <br>[sound:k-1143_七十.mp3]
[sound:k-1143_七十.mp3]	seventy<br> <b>七十</b> <br> (しちじゅう, ななじゅう, ななそ)
(<b>案内</b>) このパンフレットは博物館の案内です。	[sound:s-1143_このパンフレットは博物館の案内です。.mp3] <br> このぱんふれっとははくぶつかんのあんないです。 <br> This brochure is a guide to the museum.
