相続税	[sound:k-1409_相続税.mp3]<br>そうぞくぜい <br> inheritance tax, death duty
inheritance tax, death duty	<b>相続税<b> <br> そうぞくぜい <br>[sound:k-1409_相続税.mp3]
[sound:k-1409_相続税.mp3]	inheritance tax, death duty<br> <b>相続税</b> <br> (そうぞくぜい)
<b>水準</b> <br> 彼の仕事の水準は非常に高いです。	[sound:s-1409_彼の仕事の水準は非常に高いです。.mp3] <br> The quality of his work is very high. <br>
[sound:s-1409_彼の仕事の水準は非常に高いです。.mp3]	(<b>水準</b>) 彼の仕事の水準は非常に高いです。The quality of his work is very high. <br>
推進	[sound:k-1410_推進.mp3]<br>すいしん <br> propulsion, driving force; implementation, promotion (e.g. of a government policy)
propulsion, driving force; implementation, promotion (e.g. of a government policy)	<b>推進<b> <br> すいしん <br>[sound:k-1410_推進.mp3]
[sound:k-1410_推進.mp3]	propulsion, driving force; implementation, promotion<br> <b>e.g. of a government policy) (推進</b> <br> (すいしん)
<b>水道</b> <br> この家には良い水道設備があります。	[sound:s-1410_この家には良い水道設備があります。.mp3] <br> This house has good plumbing. <br>
[sound:s-1410_この家には良い水道設備があります。.mp3]	(<b>水道</b>) この家には良い水道設備があります。This house has good plumbing. <br>
進出	[sound:k-1411_進出.mp3]<br>しんしゅつ <br> advance, step forward
advance, step forward	<b>進出<b> <br> しんしゅつ <br>[sound:k-1411_進出.mp3]
[sound:k-1411_進出.mp3]	advance, step forward<br> <b>進出</b> <br> (しんしゅつ)
<b>水面</b> <br> 夜空には星が水面に映っていた。	[sound:s-1411_夜空には星が水面に映っていた。.mp3] <br> Stars were reflected on the water's surface in the night sky. <br>
[sound:s-1411_夜空には星が水面に映っていた。.mp3]	(<b>水面</b>) 夜空には星が水面に映っていた。Stars were reflected on the water's surface in the night sky. <br>
先進国	[sound:k-1412_先進国.mp3]<br>せんしんこく <br> advanced (developed) country, advanced nations
advanced (developed) country, advanced nations	<b>先進国<b> <br> せんしんこく <br>[sound:k-1412_先進国.mp3]
[sound:k-1412_先進国.mp3]	advanced<br> <b>developed) country, advanced nations (先進国</b> <br> (せんしんこく)
<b>水泳</b> <br> 彼女は毎日のようにプールで水泳をしています。	[sound:s-1412_彼女は毎日のようにプールで水泳をしています。.mp3] <br> She swims in the pool almost every day. <br>
[sound:s-1412_彼女は毎日のようにプールで水泳をしています。.mp3]	(<b>水泳</b>) 彼女は毎日のようにプールで水泳をしています。She swims in the pool almost every day. <br>
進展	[sound:k-1413_進展.mp3]<br>しんてん <br> progress, development
progress, development	<b>進展<b> <br> しんてん <br>[sound:k-1413_進展.mp3]
[sound:k-1413_進展.mp3]	progress, development<br> <b>進展</b> <br> (しんてん)
<b>水田</b> <br> その地域では水田が主要な農業です。	[sound:s-1413_その地域では水田が主要な農業です。.mp3] <br> Rice paddies are the main agricultural activity in that region. <br>
[sound:s-1413_その地域では水田が主要な農業です。.mp3]	(<b>水田</b>) その地域では水田が主要な農業です。Rice paddies are the main agricultural activity in that region. <br>
促進	[sound:k-1414_促進.mp3]<br>そくしん <br> promotion, acceleration, encouragement, facilitation, spurring on
promotion, acceleration, encouragement, facilitation, spurring on	<b>促進<b> <br> そくしん <br>[sound:k-1414_促進.mp3]
[sound:k-1414_促進.mp3]	promotion, acceleration, encouragement, facilitation, spurring on<br> <b>促進</b> <br> (そくしん)
<b>水俣病</b> <br> 水俣病の被害者は多くの苦しみを経験しました。	[sound:s-1414_水俣病の被害者は多くの苦しみを経験しました。.mp3] <br> Victims of Minamata disease experienced a lot of suffering. <br>
[sound:s-1414_水俣病の被害者は多くの苦しみを経験しました。.mp3]	(<b>水俣病</b>) 水俣病の被害者は多くの苦しみを経験しました。Victims of Minamata disease experienced a lot of suffering. <br>
先進	[sound:k-1415_先進.mp3]<br>せんしん <br> seniority, advance, leadership
seniority, advance, leadership	<b>先進<b> <br> せんしん <br>[sound:k-1415_先進.mp3]
[sound:k-1415_先進.mp3]	seniority, advance, leadership<br> <b>先進</b> <br> (せんしん)
<b>水産</b> <br> その地域の経済は水産業に依存しています。	[sound:s-1415_その地域の経済は水産業に依存しています。.mp3] <br> The economy of that region depends on the fishing industry. <br>
[sound:s-1415_その地域の経済は水産業に依存しています。.mp3]	(<b>水産</b>) その地域の経済は水産業に依存しています。The economy of that region depends on the fishing industry. <br>
進学	[sound:k-1416_進学.mp3]<br>しんがく <br> entering a higher-level school, esp. going on to university
entering a higher-level school, esp. going on to university	<b>進学<b> <br> しんがく <br>[sound:k-1416_進学.mp3]
[sound:k-1416_進学.mp3]	entering a higher-level school, esp. going on to university<br> <b>進学</b> <br> (しんがく)
