[sound:k-2254_昨春.mp3]	last spring, the spring of last year<br> <b>昨春</b> <br> (さくしゅん)
(<b>与党</b>) 与党は選挙に勝利した。	[sound:s-2254_与党は選挙に勝利した。.mp3] <br> よとうはせんきょにしょうりした。 <br> The ruling party won the election.
[sound:s-2244_この土は肥沃です。.mp3]	(<b>土</b>) この土は肥沃です。<br> このつちはひよくです。 <br>This soil is fertile.	
昨日	[sound:k-2255_昨日.mp3]<br>さくじつ, きのう <br> yesterday
yesterday	<b>昨日<b> <br> さくじつ, きのう <br>[sound:k-2255_昨日.mp3]
[sound:k-2255_昨日.mp3]	yesterday<br> <b>昨日</b> <br> (さくじつ, きのう)
(<b>与野党</b>) 与野党は意見を交わした。	[sound:s-2255_与野党は意見を交わした。.mp3] <br> よやとうはいけんをかわした。 <br> The ruling and opposition parties exchanged views.
[sound:s-2245_彼は自分の土地に家を建てた。.mp3]	(<b>土地</b>) 彼は自分の土地に家を建てた。<br> かれはじぶんのとちにいえをたてた。 <br>He built a house on his own land.	
昨今	[sound:k-2256_昨今.mp3]<br>さっこん, さくこん <br> nowadays, recently
nowadays, recently	<b>昨今<b> <br> さっこん, さくこん <br>[sound:k-2256_昨今.mp3]
[sound:k-2256_昨今.mp3]	nowadays, recently<br> <b>昨今</b> <br> (さっこん, さくこん)
(<b>関与</b>) 彼はその計画に関与している。	[sound:s-2256_彼はその計画に関与している。.mp3] <br> かれはそのけいかくにかんよしている。 <br> He is involved in the project.
[sound:s-2246_その国は領土を拡大した。.mp3]	(<b>領土</b>) その国は領土を拡大した。<br> そのくにはりょうどをかくだいした。 <br>The country expanded its territory.	
昨年来	[sound:k-2257_昨年来.mp3]<br>さくねんらい <br> since last year
since last year	<b>昨年来<b> <br> さくねんらい <br>[sound:k-2257_昨年来.mp3]
[sound:k-2257_昨年来.mp3]	since last year<br> <b>昨年来</b> <br> (さくねんらい)
(<b>給与</b>) その企業は給与水準が高い。	[sound:s-2257_その企業は給与水準が高い。.mp3] <br> そのきぎょうはきゅうよすいじゅんがたかい。 <br> The company has high salary levels.
[sound:s-2247_土曜日には友達と遊ぶ予定です。.mp3]	(<b>土曜</b>) 土曜日には友達と遊ぶ予定です。<br> どようびにはともだちとあそぶよていです。 <br>I have plans to hang out with friends on Saturday.	
昨夜	[sound:k-2258_昨夜.mp3]<br>ゆう, ゆうべ, さくや <br> evening; last night
evening; last night	<b>昨夜<b> <br> ゆう, ゆうべ, さくや <br>[sound:k-2258_昨夜.mp3]
[sound:k-2258_昨夜.mp3]	evening; last night<br> <b>昨夜</b> <br> (ゆう, ゆうべ, さくや)
(<b>供与</b>) その寄付は地域に多くの恩恵を供与した。	[sound:s-2258_その寄付は地域に多くの恩恵を供与した。.mp3] <br> そのきふはちいきにおおくのおんけいをきょうよした。 <br> The donation provided many benefits to the community.
[sound:s-2248_この国土は多様な文化で育まれてきた。.mp3]	(<b>国土</b>) この国土は多様な文化で育まれてきた。<br> このこくどはたようなぶんかではぐまれてきた。 <br>This homeland has been nurtured by diverse cultures.	
昨冬	[sound:k-2259_昨冬.mp3]<br>さくとう <br> last winter
last winter	<b>昨冬<b> <br> さくとう <br>[sound:k-2259_昨冬.mp3]
[sound:k-2259_昨冬.mp3]	last winter<br> <b>昨冬</b> <br> (さくとう)
(<b>投与</b>) 医師は患者に薬を投与した。	[sound:s-2259_医師は患者に薬を投与した。.mp3] <br> いしはかんじゃにくすりをとうよした。 <br> The doctor administered medicine to the patient.
[sound:s-2249_土俵の上で力士が激闘を繰り広げる。.mp3]	(<b>土俵</b>) 土俵の上で力士が激闘を繰り広げる。<br> どひょうのうえでりきしはげきとうをくりひろげる。 <br>Sumo wrestlers engage in fierce battles on the sumo ring.	
論議	[sound:k-2260_論議.mp3]<br>ろんぎ <br> discussion, argument, debate
discussion, argument, debate	<b>論議<b> <br> ろんぎ <br>[sound:k-2260_論議.mp3]
[sound:k-2260_論議.mp3]	discussion, argument, debate<br> <b>論議</b> <br> (ろんぎ)
(<b>付与</b>) 彼は栄誉を彼に付与された。	[sound:s-2260_彼は栄誉を彼に付与された。.mp3] <br> かれはえいよをかれにふよされた。 <br> He was granted an honor.
[sound:s-2250_彼は土木工学を専攻しています。.mp3]	(<b>土木</b>) 彼は土木工学を専攻しています。<br> かれはどぼくこうがくをせんこうしています。 <br>He is majoring in civil engineering.	
議論	[sound:k-2261_議論.mp3]<br>ぎろん <br> argument, discussion, dispute, controversy
argument, discussion, dispute, controversy	<b>議論<b> <br> ぎろん <br>[sound:k-2261_議論.mp3]
[sound:k-2261_議論.mp3]	argument, discussion, dispute, controversy<br> <b>議論</b> <br> (ぎろん)
(<b>参与</b>) 彼はプロジェクトに参与しています。	[sound:s-2261_彼はプロジェクトに参与しています。.mp3] <br> かれはぷろじぇくとにさんよしています。 <br> He is participating in the project.
[sound:s-2251_洪水が全土を覆った。.mp3]	(<b>全土</b>) 洪水が全土を覆った。<br> こうずいがぜんどをおおった。 <br>The flood covered the entire land.	
結論	[sound:k-2262_結論.mp3]<br>けつろん <br> conclusion
conclusion	<b>結論<b> <br> けつろん <br>[sound:k-2262_結論.mp3]
