presenting a case, suing	<b>提訴<b> <br> ていそ <br>[sound:k-2536_提訴.mp3]
[sound:k-2536_提訴.mp3]	presenting a case, suing<br> <b>提訴</b> <br> (ていそ)
<b>締め切り</b> <br> レポートの締め切りは来週の金曜日です。	[sound:s-2536_レポートの締め切りは来週の金曜日です。.mp3] <br> れぽーとのしめきりはらいしゅうのきんようびです。 <br>The deadline for the report is next Friday.
[sound:s-2536_レポートの締め切りは来週の金曜日です。.mp3]	<b>締め切り</b> <br> レポートの締め切りは来週の金曜日です。<br> れぽーとのしめきりはらいしゅうのきんようびです <br>The deadline for the report is next Friday.
提示	[sound:k-2537_提示.mp3]<br>ていじ <br> presentation, exhibit, suggest, citation
presentation, exhibit, suggest, citation	<b>提示<b> <br> ていじ <br>[sound:k-2537_提示.mp3]
[sound:k-2537_提示.mp3]	presentation, exhibit, suggest, citation<br> <b>提示</b> <br> (ていじ)
<b>切手</b> <br> 手紙に切手を貼り付ける。	[sound:s-2537_手紙に切手を貼り付ける。.mp3] <br> てがみにきってをはりつける。 <br>Affix a stamp to the letter.
[sound:s-2537_手紙に切手を貼り付ける。.mp3]	<b>切手</b> <br> 手紙に切手を貼り付ける。<br> てがみにきってをはりつける <br>Affix a stamp to the letter.
提供者	[sound:k-2538_提供者.mp3]<br>ていきょうしゃ <br> donor, contributer, provider
donor, contributer, provider	<b>提供者<b> <br> ていきょうしゃ <br>[sound:k-2538_提供者.mp3]
[sound:k-2538_提供者.mp3]	donor, contributer, provider<br> <b>提供者</b> <br> (ていきょうしゃ)
<b>施行</b> <br> 新しい法律が施行された。	[sound:s-2538_新しい法律が施行された。.mp3] <br> あたらしいほうりつがしこうされた。 <br>The new law has been enforced.
[sound:s-2538_新しい法律が施行された。.mp3]	<b>施行</b> <br> 新しい法律が施行された。<br> あたらしいほうりつがしこうされた <br>The new law has been enforced.
提起	[sound:k-2539_提起.mp3]<br>ていき <br> bring suit, file a claim, raise a question
