[sound:s-3089_家族でピクニックに行きます。.mp3]	(<b>家族</b>) 家族でピクニックに行きます。<br> かぞくでピクニックにいきます。 <br>We're going on a picnic with the family.	
送る	[sound:k-3100_送る.mp3]<br>おくる <br> to send (a thing), to dispatch, to despatch; to take or escort (a person somewhere), to see off (a person); to bid farewell (to the departed), to bury; to spend (time), to live one's life; to pass (down the line); to affix okurigana
to send (a thing), to dispatch, to despatch; to take or escort (a person somewhere), to see off (a person); to bid farewell (to the departed), to bury; to spend (time), to live one's life; to pass (down the line); to affix okurigana	<b>送る<b> <br> おくる <br>[sound:k-3100_送る.mp3]
[sound:k-3100_送る.mp3]	to send<br> <b>a thing), to dispatch, to despatch; to take or escort (a person somewhere), to see off (a person); to bid farewell (to the departed), to bury; to spend (time), to live one's life; to pass (down the line); to affix okurigana (送る</b> <br> (おくる)
(<b>印象</b>) 彼の笑顔は私に良い印象を与えました。	[sound:s-3100_彼の笑顔は私に良い印象を与えました。.mp3] <br> かれのえがおはわたしにいいいんしょうをあたえました。 <br> His smile left a good impression on me.
[sound:s-3090_彼は先住民族の一員です。.mp3]	(<b>族</b>) 彼は先住民族の一員です。<br> かれはせんじゅうみんぞくのいちいんです。 <br>He is a member of an indigenous tribe.	
放送	[sound:k-3101_放送.mp3]<br>ほうそう <br> broadcast, broadcasting
broadcast, broadcasting	<b>放送<b> <br> ほうそう <br>[sound:k-3101_放送.mp3]
[sound:k-3101_放送.mp3]	broadcast, broadcasting<br> <b>放送</b> <br> (ほうそう)
(<b>現象</b>) その現象は自然の摂理に基づいています。	[sound:s-3101_その現象は自然の摂理に基づいています。.mp3] <br> そのげんしょうはしぜんのせつりにもとづいています。 <br> The phenomenon is based on the laws of nature.
[sound:s-3091_その国には多様な民族が暮らしています。.mp3]	(<b>民族</b>) その国には多様な民族が暮らしています。<br> そのくににはたようなみんぞくがくらしています。 <br>Various ethnic groups live in that country.	
輸送	[sound:k-3102_輸送.mp3]<br>ゆそう <br> transport, transportation
transport, transportation	<b>輸送<b> <br> ゆそう <br>[sound:k-3102_輸送.mp3]
[sound:k-3102_輸送.mp3]	transport, transportation<br> <b>輸送</b> <br> (ゆそう)
(<b>象</b>) アフリカで象の群れを見たことがありますか？	[sound:s-3102_アフリカで象の群れを見たことがありますか？.mp3] <br> アフリカでぞうのむれをみたことがありますか？	Have you ever seen a herd of elephants in Africa?
[sound:s-3092_戦争で亡くなった兵士の遺族に支援を提供します。.mp3]	(<b>遺族</b>) 戦争で亡くなった兵士の遺族に支援を提供します。<br> せんそうでなくなったへいしのいぞくにしえんをていきゅうします。 <br>We provide support to the families of soldiers who died in war.	
送り	[sound:k-3103_送り.mp3]<br>おくり <br> seeing off, sending off; funeral; escapement
seeing off, sending off; funeral; escapement	<b>送り<b> <br> おくり <br>[sound:k-3103_送り.mp3]
[sound:k-3103_送り.mp3]	seeing off, sending off; funeral; escapement<br> <b>送り</b> <br> (おくり)
(<b>気象庁</b>) 台風の情報は気象庁から提供されます。	[sound:s-3103_台風の情報は気象庁から提供されます。.mp3] <br> たいふうのじょうほうはきしょうちょうからていきゅうされます。 <br> Typhoon information is provided by the Meteorological Agency.
[sound:s-3093_彼は強い民族主義者です。.mp3]	(<b>民族主義</b>) 彼は強い民族主義者です。<br> かれはつよいみんぞくしゅぎしゃです。 <br>He is a strong nationalist.	
先送り	[sound:k-3104_先送り.mp3]<br>さきおくり <br> postpone
postpone	<b>先送り<b> <br> さきおくり <br>[sound:k-3104_先送り.mp3]
[sound:k-3104_先送り.mp3]	postpone<br> <b>先送り</b> <br> (さきおくり)
(<b>気象</b>) 彼は気象学者として働いています。	[sound:s-3104_彼は気象学者として働いています。.mp3] <br> かれはきしょうがくしゃとしてはたらいています。 <br> He works as a meteorologist.
[sound:s-3094_葬儀には親族だけを招待します。.mp3]	(<b>親族</b>) 葬儀には親族だけを招待します。<br> そうぎにはしんぞくだけをしょうたいします。 <br>Only close relatives are invited to the funeral.	
見送り	[sound:k-3105_見送り.mp3]<br>みおくり <br> seeing one off, farewell, escort
seeing one off, farewell, escort	<b>見送り<b> <br> みおくり <br>[sound:k-3105_見送り.mp3]
[sound:k-3105_見送り.mp3]	seeing one off, farewell, escort<br> <b>見送り</b> <br> (みおくり)
(<b>象徴</b>) その建物は国の繁栄を象徴しています。	[sound:s-3105_その建物は国の繁栄を象徴しています。.mp3] <br> そのたてものはくにのはんえいをしょうちょうしています。 <br> The building symbolizes the prosperity of the country.
[sound:s-3095_彼女は昔からの名門の一族です。.mp3]	(<b>一族</b>) 彼女は昔からの名門の一族です。<br> かのじょはむかしからのめいもんのいちぞくです。 <br>She is from an ancient noble family.	
見送る	[sound:k-3106_見送る.mp3]<br>みおくる <br> to see off (e.g. to the station, an airport, etc.), to escort (e.g. home), to farewell; to see out, to send off; to let pass, to wait and see, to continue (e.g. in legal contexts); to let a pitch go by (baseball), to watch a batted ball go into the stands
to see off (e.g. to the station, an airport, etc.), to escort (e.g. home), to farewell; to see out, to send off; to let pass, to wait and see, to continue (e.g. in legal contexts); to let a pitch go by (baseball), to watch a batted ball go into the stands	<b>見送る<b> <br> みおくる <br>[sound:k-3106_見送る.mp3]
[sound:k-3106_見送る.mp3]	to see off<br> <b>e.g. to the station, an airport, etc.), to escort (e.g. home), to farewell; to see out, to send off; to let pass, to wait and see, to continue (e.g. in legal contexts); to let a pitch go by (baseball), to watch a batted ball go into the stands (見送る</b> <br> (みおくる)
