[sound:k-3663_宮殿.mp3]	palace<br> <b>宮殿</b> <br> (きゅうでん)
(<b>田畑</b>) この地域は田畑が広がっています。	[sound:s-3663_この地域は田畑が広がっています。.mp3] <br> このちいきはたはたがひろがっています。 <br> This area has vast fields and paddies.
[sound:s-3653_彼女は毎朝化粧をします。.mp3]	(<b>化粧</b>) 彼女は毎朝化粧をします。<br> かのじょはまいあさけしょうをします。 <br>She puts on makeup every morning.	
子宮	[sound:k-3664_子宮.mp3]<br>しきゅう <br> womb, uterus
womb, uterus	<b>子宮<b> <br> しきゅう <br>[sound:k-3664_子宮.mp3]
[sound:k-3664_子宮.mp3]	womb, uterus<br> <b>子宮</b> <br> (しきゅう)
(<b>田植え</b>) 春になると田植えが始まります。	[sound:s-3664_春になると田植えが始まります。.mp3] <br> はるになるとたうえがはじまります。 <br> Rice planting begins in spring.
[sound:s-3654_生産プロセスの合理化が進められています。.mp3]	(<b>合理化</b>) 生産プロセスの合理化が進められています。<br> せいさんぷろせすのごうりかがすすめられています。 <br>Rationalization of the production process is being promoted.	
宮中	[sound:k-3665_宮中.mp3]<br>きゅうちゅう <br> imperial court
imperial court	<b>宮中<b> <br> きゅうちゅう <br>[sound:k-3665_宮中.mp3]
[sound:k-3665_宮中.mp3]	imperial court<br> <b>宮中</b> <br> (きゅうちゅう)
(<b>票田</b>) 政治家たちは票田を拡大するために努力しています。	[sound:s-3665_政治家たちは票田を拡大するために努力しています。.mp3] <br> せいじかたちはひょうでんをかくだいするためにどりょくしています。 <br> Politicians are striving to expand their voter base.
[sound:s-3655_その企業は国際化を進めています。.mp3]	(<b>国際化</b>) その企業は国際化を進めています。<br> そのきぎょうはこくさいかをすすめています。 <br>The company is globalizing.	
東宮	[sound:k-3666_東宮.mp3]<br>とうぐう <br> crown prince
crown prince	<b>東宮<b> <br> とうぐう <br>[sound:k-3666_東宮.mp3]
[sound:k-3666_東宮.mp3]	crown prince<br> <b>東宮</b> <br> (とうぐう)
(<b>新田</b>) 新田に家を建てました。	[sound:s-3666_新田に家を建てました。.mp3] <br> しんでんにいえをたてました。 <br> I built a house in the new field.
[sound:s-3656_この計画は本格化されました。.mp3]	(<b>本格化</b>) この計画は本格化されました。<br> このけいかくはほんかくかされました。 <br>This plan has been put into full-scale operation.	
王宮	[sound:k-3667_王宮.mp3]<br>おうきゅう <br> royal palace
royal palace	<b>王宮<b> <br> おうきゅう <br>[sound:k-3667_王宮.mp3]
