#separator:tab		
<b>同日</b> <br> 同日に会議があります。	[sound:s-0001_同日に会議があります。.mp3] <br> どうじつにかいぎがあります。 <br>There is a meeting on the same day.
<b>日米</b> <br> 日米間の交流が活発です。	[sound:s-0002_日米間の交流が活発です。.mp3] <br> にちべいかんのこうりゅうがかっぱつです。 <br>The exchange between Japan and the United States is active.
<b>日本人</b> <br> 日本人の文化は豊かです。	[sound:s-0003_日本人の文化は豊かです。.mp3] <br> にほんじんのぶんかはゆたかです。 <br>Japanese culture is rich.
<b>毎日</b> <br> 毎日新聞を読みます。	[sound:s-0004_毎日新聞を読みます。.mp3] <br> まいにちしんぶんをよみます。 <br>I read the newspaper every day.
<b>前日</b> <br> 仕事の前日に準備をします。	[sound:s-0005_仕事の前日に準備をします。.mp3] <br> ぜんじつにしごとのぜんじつにじゅんびをします。 <br>I prepare the day before work.
<b>全日</b> <br> 彼は全日家で過ごしました。	[sound:s-0006_彼は全日家で過ごしました。.mp3] <br> かれはぜんじついえですごしました。 <br>He spent the whole day at home.
<b>日程</b> <br> 会議の日程を確認しました。	[sound:s-0007_会議の日程を確認しました。.mp3] <br> かいぎのにっていをかくにんしました。 <br>I confirmed the schedule for the meeting.
<b>日本語</b> <br> 日本語を勉強しています。	[sound:s-0008_日本語を勉強しています。.mp3] <br> にほんごをべんきょうしています。 <br>I am studying Japanese.
<b>今日</b> <br> 今日はいい天気ですね。	[sound:s-0009_今日はいい天気ですね。.mp3] <br> きょうはいいてんきですね。 <br>The weather is nice today.
<b>一つ</b> <br> プレゼントを一つもらいました。	[sound:s-0010_プレゼントを一つもらいました。.mp3] <br> プレゼントをひとつもらいました。 <br>I received one present.
<b>一月</b> <br> 一月に新しい仕事を始めます。	[sound:s-0011_一月に新しい仕事を始めます。.mp3] <br> いちがつにあたらしいしごとをはじめます。 <br>I will start a new job in January.
<b>一般</b> <br> この本は一般の読者向けです。	[sound:s-0012_この本は一般の読者向けです。.mp3] <br> このほんはいっぱんのどくしゃむけです。 <br>This book is for general readers.
<b>一番</b> <br> 彼はいつも一番に到着します。	[sound:s-0013_彼はいつも一番に到着します。.mp3] <br> かれはいつもいちばんにとうちゃくします。 <br>He always arrives first.
<b>一部</b> <br> この映画は一部が実話に基づいています。	[sound:s-0014_この映画は一部が実話に基づいています。.mp3] <br> このえいがはいちぶがじつわにもとづいています。 <br>This movie is based on a true story in part.
<b>一方</b> <br> 私たちは一方的な決定をしたくありません。	[sound:s-0015_私たちは一方的な決定をしたくありません。.mp3] <br> わたしたちはいっぽうてきなけっていをしたくありません。 <br>We don't want to make unilateral decisions.
<b>十一</b> <br> 彼女の誕生日は十一月です。	[sound:s-0016_彼女の誕生日は十一月です。.mp3] <br> かのじょのたんじょうびはじゅういちがつです。 <br>Her birthday is in November.
<b>十一月</b> <br> 十一月は秋の深まる季節です。	[sound:s-0017_十一月は秋の深まる季節です。.mp3] <br> じゅういちがつはあきのふかまるきせつです。 <br>November is a season when autumn deepens.
<b>統一</b> <br> 国家の統一を目指しています。	[sound:s-0018_国家の統一を目指しています。.mp3] <br> こっかのとういつをめざしています。 <br>We aim for national unity.
<b>一時</b> <br> 電車が一時停止しました。	[sound:s-0019_電車が一時停止しました。.mp3] <br> でんしゃがいちじていしした。 <br>The train stopped temporarily.
<b>国</b> <br> 日本は美しい国です。	[sound:s-0020_日本は美しい国です。.mp3] <br> にほんはうつくしいくにです。 <br>Japan is a beautiful country.
<b>外国</b> <br> 外国に旅行したいです。	[sound:s-0021_外国に旅行したいです。.mp3] <br> がいこくにりょこうしたいです。 <br>I want to travel abroad.
<b>外国人</b> <br> 外国人と友達になりたいです。	[sound:s-0022_外国人と友達になりたいです。.mp3] <br> がいこくじんとともだちになりたいです。 <br>I want to become friends with foreigners.
<b>韓国</b> <br> 韓国の文化に興味があります。	[sound:s-0023_韓国の文化に興味があります。.mp3] <br> かんこくのぶんかにきょうみがあります。 <br>I am interested in Korean culture.
<b>国家</b> <br> 国家の安全が最優先です。	[sound:s-0024_国家の安全が最優先です。.mp3] <br> こっかのあんぜんがさいゆうせんです。 <br>National security is the top priority.
<b>国会</b> <br> 国会で法律が制定されました。	[sound:s-0025_国会で法律が制定されました。.mp3] <br> こっかいでほうりつがせいていされました。 <br>A law was enacted in the Diet.
<b>国際</b> <br> 国際交流イベントに参加しました。	[sound:s-0026_国際交流イベントに参加しました。.mp3] <br> こくさいこうりゅうイベントにさんかしました。 <br>I participated in an international exchange event.
<b>国内</b> <br> 国内旅行を計画しています。	[sound:s-0027_国内旅行を計画しています。.mp3] <br> こくないりょこうをけいかくしています。 <br>I am planning a domestic trip.
<b>国民</b> <br> 国民の声を聞かなければなりません。	[sound:s-0028_国民の声を聞かなければなりません。.mp3] <br> こくみんのこえをきかなければなりません。 <br>We must listen to the voice of the people.
<b>国連</b> <br> 国連の総会が開催されました。	[sound:s-0029_国連の総会が開催されました。.mp3] <br> こくれんのそうかいがかいさいされました。 <br>The United Nations General Assembly was held.
<b>委員会</b> <br> 委員会で議論が行われました。	[sound:s-0030_委員会で議論が行われました。.mp3] <br> いいんかいでぎろんがおこなわれました。 <br>Discussion took place in the committee.
<b>会員</b> <br> 彼はクラブの会員です。	[sound:s-0031_彼はクラブの会員です。.mp3] <br> かれはクラブのかいいんです。 <br>He is a member of the club.
<b>会議</b> <br> 今日の会議は午後からです。	[sound:s-0032_今日の会議は午後からです。.mp3] <br> きょうのかいぎはごごからです。 <br>Today's meeting is in the afternoon.
<b>会見</b> <br> 首相が会見を行いました。	[sound:s-0033_首相が会見を行いました。.mp3] <br> しゅしょうがかいけんをおこないました。 <br>The Prime Minister held a press conference.
<b>会社</b> <br> あの会社は有名です。	[sound:s-0034_あの会社は有名です。.mp3] <br> あのかいしゃはゆうめいです。 <br>That company is famous.
<b>会談</b> <br> 外交官たちは会談を行った。	[sound:s-0035_外交官たちは会談を行った。.mp3] <br> がいこうかんたちはかいだんをおこなった。 <br>Diplomats held talks.
<b>会長</b> <br> 彼はクラブの会長です。	[sound:s-0036_彼はクラブの会長です。.mp3] <br> かれはクラブのかいちょうです。 <br>He is the president of the club.
<b>議会</b> <br> 議会で法案が審議されます。	[sound:s-0037_議会で法案が審議されます。.mp3] <br> ぎかいでほうあんがしんぎされます。 <br>The bill will be deliberated in the parliament.
<b>協会</b> <br> 環境保護協会に参加しました。	[sound:s-0038_環境保護協会に参加しました。.mp3] <br> かんきょうほごきょうかいにさんかしました。 <br>I participated in the environmental protection association.
<b>国会</b> <br> 国会で法案が可決されました。	[sound:s-0039_国会で法案が可決されました。.mp3] <br> こっかいでほうあんがかけつされました。 <br>The bill was passed in the National Diet.
<b>外国人</b> <br> 外国人と友達になりたいです。	[sound:s-0040_外国人と友達になりたいです。.mp3] <br> がいこくじんとともだちになりたいです。 <br>I want to become friends with foreigners.
<b>個人</b> <br> 私の意見は個人的なものです。	[sound:s-0041_私の意見は個人的なものです。.mp3] <br> わたしのいけんはこじんてきなものです。 <br>My opinion is personal.
<b>三人</b> <br> 三人でレストランに行きました。	[sound:s-0042_三人でレストランに行きました。.mp3] <br> さんにんでレストランにいきました。 <br>We went to a restaurant with three people.
<b>人間</b> <br> 人間は常に成長します。	[sound:s-0043_人間は常に成長します。.mp3] <br> にんげんはつねにせいちょうします。 <br>Humans are always growing.
<b>人気</b> <br> この店はとても人気があります。	[sound:s-0044_この店はとても人気があります。.mp3] <br> このみせはとてもにんきがあります。 <br>This shop is very popular.
