#separator:tab		
#separator:tab		
#separator:tab	
#separator:tab		
#separator:tab			
同日	[sound:k-0001_同日.mp3]<br>どうじつ <br> the same day
the same day	<b>同日<b> <br> どうじつ <br>[sound:k-0001_同日.mp3]
[sound:k-0001_同日.mp3]	the same day<br> <b>同日</b> <br> (どうじつ)
<b>同日</b> <br> 同日に会議があります。	[sound:s-0001_同日に会議があります。.mp3] <br> どうじつにかいぎがあります。 <br>There is a meeting on the same day.
[sound:s-0001_同日に会議があります。.mp3]	<b>同日</b> <br> 同日に会議があります。<br> どうじつにかいぎがあります <br>There is a meeting on the same day.
日米	[sound:k-0002_日米.mp3]<br>にちべい <br> Japan-America
Japan-America	<b>日米<b> <br> にちべい <br>[sound:k-0002_日米.mp3]
[sound:k-0002_日米.mp3]	Japan-America<br> <b>日米</b> <br> (にちべい)
<b>日米</b> <br> 日米間の交流が活発です。	[sound:s-0002_日米間の交流が活発です。.mp3] <br> にちべいかんのこうりゅうがかっぱつです。 <br>The exchange between Japan and the United States is active.
[sound:s-0002_日米間の交流が活発です。.mp3]	<b>日米</b> <br> 日米間の交流が活発です。<br> にちべいかんのこうりゅうがかっぱつです <br>The exchange between Japan and the United States is active.
日本人	[sound:k-0003_日本人.mp3]<br>にほんじん, にっぽんじん <br> Japanese person, Japanese people
Japanese person, Japanese people	<b>日本人<b> <br> にほんじん, にっぽんじん <br>[sound:k-0003_日本人.mp3]
[sound:k-0003_日本人.mp3]	Japanese person, Japanese people<br> <b>日本人</b> <br> (にほんじん, にっぽんじん)
<b>日本人</b> <br> 日本人の文化は豊かです。	[sound:s-0003_日本人の文化は豊かです。.mp3] <br> にほんじんのぶんかはゆたかです。 <br>Japanese culture is rich.
[sound:s-0003_日本人の文化は豊かです。.mp3]	<b>日本人</b> <br> 日本人の文化は豊かです。<br> にほんじんのぶんかはゆたかです <br>Japanese culture is rich.
毎日	[sound:k-0004_毎日.mp3]<br>まいにち <br> every day
every day	<b>毎日<b> <br> まいにち <br>[sound:k-0004_毎日.mp3]
