[sound:4c-k-同日.mp3]	<b>同日</b> <br> どうじつ <br> the same day
同日	<b>どうじつ</b> <br> the same day <br> [sound:4c-k-同日.mp3]
the same day	<b>同日</b> <br> どうじつ <br> [sound:4c-k-同日.mp3]
[sound:4c-s-同日に会議があります。.mp3]	<b>同日に会議があります。</b> <br> どうじつにかいぎがあります。 <br><br> (同日) <br> There is a meeting on the same day.
同日に会議があります。 <br><br> (同日)	<b>どうじつにかいぎがあります。</b> <br> There is a meeting on the same day. <br> [sound:4c-s-同日に会議があります。.mp3]
There is a meeting on the same day.	<b>同日に会議があります。</b> <br> どうじつにかいぎがあります。 <br><br> (同日) <br> [sound:4c-s-同日に会議があります。.mp3]
[sound:4c-k-日米.mp3]	<b>日米</b> <br> にちべい <br> Japan-America
日米	<b>にちべい</b> <br> Japan-America <br> [sound:4c-k-日米.mp3]
Japan-America	<b>日米</b> <br> にちべい <br> [sound:4c-k-日米.mp3]
[sound:4c-s-日米の関係は重要です。.mp3]	<b>日米の関係は重要です。</b> <br> にちべいのかんけいはじゅうようです。 <br><br> (日米) <br> The relationship between Japan and the U.S. is important.
日米の関係は重要です。 <br><br> (日米)	<b>にちべいのかんけいはじゅうようです。</b> <br> The relationship between Japan and the U.S. is important. <br> [sound:4c-s-日米の関係は重要です。.mp3]
The relationship between Japan and the U.S. is important.	<b>日米の関係は重要です。</b> <br> にちべいのかんけいはじゅうようです。 <br><br> (日米) <br> [sound:4c-s-日米の関係は重要です。.mp3]
[sound:4c-k-日本人.mp3]	<b>日本人</b> <br> にほんじん, にっぽんじん <br> Japanese person, Japanese people
日本人	<b>にほんじん, にっぽんじん</b> <br> Japanese person, Japanese people <br> [sound:4c-k-日本人.mp3]
Japanese person, Japanese people	<b>日本人</b> <br> にほんじん, にっぽんじん <br> [sound:4c-k-日本人.mp3]
[sound:4c-s-彼は日本人です。.mp3]	<b>彼は日本人です。</b> <br> かれはにほんじんです。 <br><br> (日本人) <br> He is Japanese.
彼は日本人です。 <br><br> (日本人)	<b>かれはにほんじんです。</b> <br> He is Japanese. <br> [sound:4c-s-彼は日本人です。.mp3]
He is Japanese.	<b>彼は日本人です。</b> <br> かれはにほんじんです。 <br><br> (日本人) <br> [sound:4c-s-彼は日本人です。.mp3]
[sound:4c-k-一つ.mp3]	<b>一つ</b> <br> ひとつ <br> one; for one thing (often used in itemized lists); (after a noun) only; (with a verb in negative form) (not) even; just (i.e. "just try it")
一つ	<b>ひとつ</b> <br> one; for one thing (often used in itemized lists); (after a noun) only; (with a verb in negative form) (not) even; just (i.e. "just try it") <br> [sound:4c-k-一つ.mp3]
one; for one thing (often used in itemized lists); (after a noun) only; (with a verb in negative form) (not) even; just (i.e. "just try it")	<b>一つ</b> <br> ひとつ <br> [sound:4c-k-一つ.mp3]
[sound:4c-s-一つのりんごを食べました。.mp3]	<b>一つのりんごを食べました。</b> <br> ひとつのりんごをたべました。 <br><br> (一つ) <br> I ate one apple.
一つのりんごを食べました。 <br><br> (一つ)	<b>ひとつのりんごをたべました。</b> <br> I ate one apple. <br> [sound:4c-s-一つのりんごを食べました。.mp3]
I ate one apple.	<b>一つのりんごを食べました。</b> <br> ひとつのりんごをたべました。 <br><br> (一つ) <br> [sound:4c-s-一つのりんごを食べました。.mp3]
[sound:4c-k-一月.mp3]	<b>一月</b> <br> いちがつ <br> January
一月	<b>いちがつ</b> <br> January <br> [sound:4c-k-一月.mp3]
January	<b>一月</b> <br> いちがつ <br> [sound:4c-k-一月.mp3]
[sound:4c-s-一月に新しい年が始まります。.mp3]	<b>一月に新しい年が始まります。</b> <br> いちがつにあたらしいとしがはじまります。 <br><br> (一月) <br> A new year begins in January.
一月に新しい年が始まります。 <br><br> (一月)	<b>いちがつにあたらしいとしがはじまります。</b> <br> A new year begins in January. <br> [sound:4c-s-一月に新しい年が始まります。.mp3]
A new year begins in January.	<b>一月に新しい年が始まります。</b> <br> いちがつにあたらしいとしがはじまります。 <br><br> (一月) <br> [sound:4c-s-一月に新しい年が始まります。.mp3]
[sound:4c-k-一般.mp3]	<b>一般</b> <br> いっぱん <br> general, liberal, universal, ordinary, average
一般	<b>いっぱん</b> <br> general, liberal, universal, ordinary, average <br> [sound:4c-k-一般.mp3]
general, liberal, universal, ordinary, average	<b>一般</b> <br> いっぱん <br> [sound:4c-k-一般.mp3]
[sound:4c-s-一般の人々が集まりました。.mp3]	<b>一般の人々が集まりました。</b> <br> いっぱんのひとびとがあつまりました。 <br><br> (一般) <br> General people gathered.
