[sound:4c-s-同日に会議があります。.mp3]	<b>同日に会議があります。</b> <br> どうじつにかいぎがあります。 <br><br> (同日) <br> There is a meeting on the same day.
[sound:4c-s-日米の関係は重要です。.mp3]	<b>日米の関係は重要です。</b> <br> にちべいのかんけいはじゅうようです。 <br><br> (日米) <br> The relationship between Japan and the U.S. is important.
[sound:4c-s-彼は日本人です。.mp3]	<b>彼は日本人です。</b> <br> かれはにほんじんです。 <br><br> (日本人) <br> He is Japanese.
[sound:4c-s-一つのりんごを食べました。.mp3]	<b>一つのりんごを食べました。</b> <br> ひとつのりんごをたべました。 <br><br> (一つ) <br> I ate one apple.
[sound:4c-s-一月に新しい年が始まります。.mp3]	<b>一月に新しい年が始まります。</b> <br> いちがつにあたらしいとしがはじまります。 <br><br> (一月) <br> A new year begins in January.
[sound:4c-s-一般の人々が集まりました。.mp3]	<b>一般の人々が集まりました。</b> <br> いっぱんのひとびとがあつまりました。 <br><br> (一般) <br> General people gathered.
[sound:4c-s-彼が一番速いです。.mp3]	<b>彼が一番速いです。</b> <br> かれがいちばんはやいです。 <br><br> (一番) <br> He is the fastest.
[sound:4c-s-この国は美しいです。.mp3]	<b>この国は美しいです。</b> <br> このくにはうつくしいです。 <br><br> (国) <br> This country is beautiful.
[sound:4c-s-外国に旅行したいです。.mp3]	<b>外国に旅行したいです。</b> <br> がいこくにりょこうしたいです。 <br><br> (外国) <br> I want to travel abroad.
[sound:4c-s-外国人が日本の文化を学んでいます。.mp3]	<b>外国人が日本の文化を学んでいます。</b> <br> がいこくじんがにほんのぶんかをまなんでいます。 <br><br> (外国人) <br> Foreigners are learning about Japanese culture.
[sound:4c-s-韓国料理が好きです。.mp3]	<b>韓国料理が好きです。</b> <br> かんこくりょうりがすきです。 <br><br> (韓国) <br> I like Korean food.
[sound:4c-s-委員会が新しい規則を決めました。.mp3]	<b>委員会が新しい規則を決めました。</b> <br> いいんかいがあたらしいきそくをきめました。 <br><br> (委員会) <br> The committee decided on new rules.
[sound:4c-s-会員限定のイベントがあります。.mp3]	<b>会員限定のイベントがあります。</b> <br> かいいんげんていのイベントがあります。 <br><br> (会員) <br> There is a members-only event.
[sound:4c-s-来週の会議に参加します。.mp3]	<b>来週の会議に参加します。</b> <br> らいしゅうのかいぎにさんかします。 <br><br> (会議) <br> I will attend next week’s meeting.
[sound:4c-s-首相が記者会見をしました。.mp3]	<b>首相が記者会見をしました。</b> <br> しゅしょうがきしゃかいけんをしました。 <br><br> (会見) <br> The Prime Minister held a press conference.
4c-s-外国人の観光客が増えています。.mp3	[sound:外国人の観光客が増えています。 ]	<b>がいこくじんのかんこうきゃくがふえています。</b> <br> 外国人 <br><br> () <br> The number of foreign tourists is increasing.
[sound:4c-s-個人の意見を大切にしてください。.mp3]	<b>個人の意見を大切にしてください。</b> <br> こじんのいけんをたいせつにしてください。 <br><br> (個人) <br> Please respect individual opinions.
