There is a meeting on the same day.	<b>同日に会議があります。</b> <br> どうじつにかいぎがあります。 <br><br> (同日) <br> [sound:4c-s-同日に会議があります。.mp3]
The relationship between Japan and the U.S. is important.	<b>日米の関係は重要です。</b> <br> にちべいのかんけいはじゅうようです。 <br><br> (日米) <br> [sound:4c-s-日米の関係は重要です。.mp3]
He is Japanese.	<b>彼は日本人です。</b> <br> かれはにほんじんです。 <br><br> (日本人) <br> [sound:4c-s-彼は日本人です。.mp3]
I ate one apple.	<b>一つのりんごを食べました。</b> <br> ひとつのりんごをたべました。 <br><br> (一つ) <br> [sound:4c-s-一つのりんごを食べました。.mp3]
A new year begins in January.	<b>一月に新しい年が始まります。</b> <br> いちがつにあたらしいとしがはじまります。 <br><br> (一月) <br> [sound:4c-s-一月に新しい年が始まります。.mp3]
General people gathered.	<b>一般の人々が集まりました。</b> <br> いっぱんのひとびとがあつまりました。 <br><br> (一般) <br> [sound:4c-s-一般の人々が集まりました。.mp3]
He is the fastest.	<b>彼が一番速いです。</b> <br> かれがいちばんはやいです。 <br><br> (一番) <br> [sound:4c-s-彼が一番速いです。.mp3]
This country is beautiful.	<b>この国は美しいです。</b> <br> このくにはうつくしいです。 <br><br> (国) <br> [sound:4c-s-この国は美しいです。.mp3]
I want to travel abroad.	<b>外国に旅行したいです。</b> <br> がいこくにりょこうしたいです。 <br><br> (外国) <br> [sound:4c-s-外国に旅行したいです。.mp3]
Foreigners are learning about Japanese culture.	<b>外国人が日本の文化を学んでいます。</b> <br> がいこくじんがにほんのぶんかをまなんでいます。 <br><br> (外国人) <br> [sound:4c-s-外国人が日本の文化を学んでいます。.mp3]
I like Korean food.	<b>韓国料理が好きです。</b> <br> かんこくりょうりがすきです。 <br><br> (韓国) <br> [sound:4c-s-韓国料理が好きです。.mp3]
The committee decided on new rules.	<b>委員会が新しい規則を決めました。</b> <br> いいんかいがあたらしいきそくをきめました。 <br><br> (委員会) <br> [sound:4c-s-委員会が新しい規則を決めました。.mp3]
There is a members-only event.	<b>会員限定のイベントがあります。</b> <br> かいいんげんていのイベントがあります。 <br><br> (会員) <br> [sound:4c-s-会員限定のイベントがあります。.mp3]
I will attend next week’s meeting.	<b>来週の会議に参加します。</b> <br> らいしゅうのかいぎにさんかします。 <br><br> (会議) <br> [sound:4c-s-来週の会議に参加します。.mp3]
The Prime Minister held a press conference.	<b>首相が記者会見をしました。</b> <br> しゅしょうがきしゃかいけんをしました。 <br><br> (会見) <br> [sound:4c-s-首相が記者会見をしました。.mp3]
The number of foreign tourists is increasing.	外国人の観光客が増えています。 	<b>がいこくじんのかんこうきゃくがふえています。</b> <br> 外国人 <br><br> () <br> [sound:4c-s-外国人の観光客が増えています。.mp3]
Please respect individual opinions.	<b>個人の意見を大切にしてください。</b> <br> こじんのいけんをたいせつにしてください。 <br><br> (個人) <br> [sound:4c-s-個人の意見を大切にしてください。.mp3]
Three people are going on a trip.	<b>三人で旅行に行きます。</b> <br> さんにんでりょこうにいきます。 <br><br> (三人) <br> [sound:4c-s-三人で旅行に行きます。.mp3]
Humans are social creatures.	<b>人間は社会的な生き物です。</b> <br> にんげんはしゃかいてきないきものです。 <br><br> (人間) <br> [sound:4c-s-人間は社会的な生き物です。.mp3]
I hope this year will be a good one.	<b>今年は良い年になりますように。</b> <br> ことしはよいとしになりますように。 <br><br> (年) <br> [sound:4c-s-今年は良い年になりますように。.mp3]
