同日に会議があります。 <br><br> (同日)	<b>どうじつにかいぎがあります。</b> <br> There is a meeting on the same day. <br> [sound:4c-s-同日に会議があります。.mp3]
日米の関係は重要です。 <br><br> (日米)	<b>にちべいのかんけいはじゅうようです。</b> <br> The relationship between Japan and the U.S. is important. <br> [sound:4c-s-日米の関係は重要です。.mp3]
彼は日本人です。 <br><br> (日本人)	<b>かれはにほんじんです。</b> <br> He is Japanese. <br> [sound:4c-s-彼は日本人です。.mp3]
一つのりんごを食べました。 <br><br> (一つ)	<b>ひとつのりんごをたべました。</b> <br> I ate one apple. <br> [sound:4c-s-一つのりんごを食べました。.mp3]
一月に新しい年が始まります。 <br><br> (一月)	<b>いちがつにあたらしいとしがはじまります。</b> <br> A new year begins in January. <br> [sound:4c-s-一月に新しい年が始まります。.mp3]
一般の人々が集まりました。 <br><br> (一般)	<b>いっぱんのひとびとがあつまりました。</b> <br> General people gathered. <br> [sound:4c-s-一般の人々が集まりました。.mp3]
彼が一番速いです。 <br><br> (一番)	<b>かれがいちばんはやいです。</b> <br> He is the fastest. <br> [sound:4c-s-彼が一番速いです。.mp3]
この国は美しいです。 <br><br> (国)	<b>このくにはうつくしいです。</b> <br> This country is beautiful. <br> [sound:4c-s-この国は美しいです。.mp3]
外国に旅行したいです。 <br><br> (外国)	<b>がいこくにりょこうしたいです。</b> <br> I want to travel abroad. <br> [sound:4c-s-外国に旅行したいです。.mp3]
外国人が日本の文化を学んでいます。 <br><br> (外国人)	<b>がいこくじんがにほんのぶんかをまなんでいます。</b> <br> Foreigners are learning about Japanese culture. <br> [sound:4c-s-外国人が日本の文化を学んでいます。.mp3]
韓国料理が好きです。 <br><br> (韓国)	<b>かんこくりょうりがすきです。</b> <br> I like Korean food. <br> [sound:4c-s-韓国料理が好きです。.mp3]
委員会が新しい規則を決めました。 <br><br> (委員会)	<b>いいんかいがあたらしいきそくをきめました。</b> <br> The committee decided on new rules. <br> [sound:4c-s-委員会が新しい規則を決めました。.mp3]
会員限定のイベントがあります。 <br><br> (会員)	<b>かいいんげんていのイベントがあります。</b> <br> There is a members-only event. <br> [sound:4c-s-会員限定のイベントがあります。.mp3]
来週の会議に参加します。 <br><br> (会議)	<b>らいしゅうのかいぎにさんかします。</b> <br> I will attend next week’s meeting. <br> [sound:4c-s-来週の会議に参加します。.mp3]
首相が記者会見をしました。 <br><br> (会見)	<b>しゅしょうがきしゃかいけんをしました。</b> <br> The Prime Minister held a press conference. <br> [sound:4c-s-首相が記者会見をしました。.mp3]
外国人	外国人の観光客が増えています。  <br><br> ()	<b>がいこくじんのかんこうきゃくがふえています。</b> <br> The number of foreign tourists is increasing. <br> [sound:4c-s-外国人の観光客が増えています。.mp3]
個人の意見を大切にしてください。 <br><br> (個人)	<b>こじんのいけんをたいせつにしてください。</b> <br> Please respect individual opinions. <br> [sound:4c-s-個人の意見を大切にしてください。.mp3]
三人で旅行に行きます。 <br><br> (三人)	<b>さんにんでりょこうにいきます。</b> <br> Three people are going on a trip. <br> [sound:4c-s-三人で旅行に行きます。.mp3]
人間は社会的な生き物です。 <br><br> (人間)	<b>にんげんはしゃかいてきないきものです。</b> <br> Humans are social creatures. <br> [sound:4c-s-人間は社会的な生き物です。.mp3]
今年は良い年になりますように。 <br><br> (年)	<b>ことしはよいとしになりますように。</b> <br> I hope this year will be a good one. <br> [sound:4c-s-今年は良い年になりますように。.mp3]
昨年、新しい仕事を始めました。 <br><br> (昨年)	<b>さくねん、あたらしいしごとをはじめました。</b> <br> Last year, I started a new job. <br> [sound:4c-s-昨年、新しい仕事を始めました。.mp3]
前年より売上が増えました。 <br><br> (前年)	<b>ぜんねんよりうりあげがふえました。</b> <br> Sales increased compared to the previous year. <br> [sound:4c-s-前年より売上が増えました。.mp3]
この博物館は年間100万人が訪れます。 <br><br> (年間)	<b>このはくぶつかんはねんかんひゃくまんにんがおとずれます。</b> <br> This museum is visited by one million people annually. <br> [sound:4c-s-この博物館は年間100万人が訪れます。.mp3]
大きな木の下で休みました。 <br><br> (大きな)	<b>おおきなきのしたでやすみました。</b> <br> I rested under a big tree. <br> [sound:4c-s-大きな木の下で休みました。.mp3]
市場が拡大しています。 <br><br> (拡大)	<b>しじょうがかくだいしています。</b> <br> The market is expanding. <br> [sound:4c-s-市場が拡大しています。.mp3]
この都市の最大の公園です。 <br><br> (最大)	<b>このとしのさいだいのこうえんです。</b> <br> This is the largest park in the city. <br> [sound:4c-s-この都市の最大の公園です。.mp3]
彼の成功を大いに祝いました。 <br><br> (大いに)	<b>かれのせいこうをおおいにいわいました。</b> <br> We celebrated his success greatly. <br> [sound:4c-s-彼の成功を大いに祝いました。.mp3]
十匹の猫がいます。 <br><br> (十)	<b>じゅっぴきのねこがいます。</b> <br> There are ten cats. <br> [sound:4c-s-十匹の猫がいます。.mp3]
十一時に会議があります。 <br><br> (十一)	<b>じゅういちじにかいぎがあります。</b> <br> There is a meeting at eleven o’clock. <br> [sound:4c-s-十一時に会議があります。.mp3]
十一月は紅葉の季節です。 <br><br> (十一月)	<b>じゅういちがつはこうようのきせつです。</b> <br> November is the season of autumn leaves. <br> [sound:4c-s-十一月は紅葉の季節です。.mp3]
十九歳になりました。 <br><br> (十九)	<b>じゅうきゅうさいになりました。</b> <br> I turned nineteen years old. <br> [sound:4c-s-十九歳になりました。.mp3]
二つの選択肢があります。 <br><br> (二)	<b>ふたつのせんたくしがあります。</b> <br> There are two options. <br> [sound:4c-s-二つの選択肢があります。.mp3]
彼に二つの質問をしました。 <br><br> (二つ)	<b>かれにふたつのしつもんをしました。</b> <br> I asked him two questions. <br> [sound:4c-s-彼に二つの質問をしました。.mp3]
十二時に昼ごはんを食べます。 <br><br> (十二)	<b>じゅうにじにひるごはんをたべます。</b> <br> I eat lunch at twelve o’clock. <br> [sound:4c-s-十二時に昼ごはんを食べます。.mp3]
十二月はクリスマスの月です。 <br><br> (十二月)	<b>じゅうにがつはクリスマスのつきです。</b> <br> December is the month of Christmas. <br> [sound:4c-s-十二月はクリスマスの月です。.mp3]
このプランの基本を説明します。 <br><br> (基本)	<b>このプランのきほんをせつめいします。</b> <br> I will explain the basics of this plan. <br> [sound:4c-s-このプランの基本を説明します。.mp3]
彼女は日本人の友達です。 <br><br> (日本人)	<b>かのじょはにほんじんのともだちです。</b> <br> She is a Japanese friend. <br> [sound:4c-s-彼女は日本人の友達です。.mp3]
本社は東京にあります。 <br><br> (本社)	<b>ほんしゃはとうきょうにあります。</b> <br> The headquarters is in Tokyo. <br> [sound:4c-s-本社は東京にあります。.mp3]
本部の指示に従ってください。 <br><br> (本部)	<b>ほんぶのしじにしたがってください。</b> <br> Please follow the headquarters' instructions. <br> [sound:4c-s-本部の指示に従ってください。.mp3]
中央駅で待ち合わせしましょう。 <br><br> (中央)	<b>ちゅうおうえきでまちあわせしましょう。</b> <br> Let's meet at the central station. <br> [sound:4c-s-中央駅で待ち合わせしましょう。.mp3]
中国の歴史はとても長いです。 <br><br> (中国)	<b>ちゅうごくのれきしはとてもながいです。</b> <br> China’s history is very long. <br> [sound:4c-s-中国の歴史はとても長いです。.mp3]
彼はグループの中心人物です。 <br><br> (中心)	<b>かれはグループのちゅうしんじんぶつです。</b> <br> He is the central figure of the group. <br> [sound:4c-s-彼はグループの中心人物です。.mp3]
中でもこの映画が一番好きです。 <br><br> (中でも)	<b>なかでもこのえいががいちばんすきです。</b> <br> Among them, I like this movie the most. <br> [sound:4c-s-中でもこの映画が一番好きです。.mp3]
彼は会社の長です。 <br><br> (長)	<b>かれはかいしゃのちょうです。</b> <br> He is the head of the company. <br> [sound:4c-s-彼は会社の長です。.mp3]
委員長が会議を開きました。 <br><br> (委員長)	<b>いいんちょうがかいぎをひらきました。</b> <br> The committee chair held a meeting. <br> [sound:4c-s-委員長が会議を開きました。.mp3]
会社の会長がスピーチをしました。 <br><br> (会長)	<b>かいしゃのかいちょうがスピーチをしました。</b> <br> The company president gave a speech. <br> [sound:4c-s-会社の会長がスピーチをしました。.mp3]
議長は議論をまとめました。 <br><br> (議長)	<b>ぎちょうはぎろんをまとめました。</b> <br> The chairman summarized the discussion. <br> [sound:4c-s-議長は議論をまとめました。.mp3]
彼は新しいアイデアを出しました。 <br><br> (出す)	<b>かれはあたらしいアイデアをだしました。</b> <br> He came up with a new idea. <br> [sound:4c-s-彼は新しいアイデアを出しました。.mp3]
彼は東京出身です。 <br><br> (出身)	<b>かれはとうきょうしゅっしんです。</b> <br> He is from Tokyo. <br> [sound:4c-s-彼は東京出身です。.mp3]
この国は多くの商品を輸出しています。 <br><br> (輸出)	<b>このくにはおおくのしょうひんをゆしゅつしています。</b> <br> This country exports many products. <br> [sound:4c-s-この国は多くの商品を輸出しています。.mp3]
彼は大会に出場します。 <br><br> (出場)	<b>かれはたいかいにしゅつじょうします。</b> <br> He will participate in the tournament. <br> [sound:4c-s-彼は大会に出場します。.mp3]
三人で映画を見に行きました。 <br><br> (三)	<b>さんにんでえいがをみにいきました。</b> <br> Three people went to watch a movie. <br> [sound:4c-s-三人で映画を見に行きました。.mp3]
テーブルの上に三つのリンゴがあります。 <br><br> (三つ)	<b>テーブルのうえにみっつのりんごがあります。</b> <br> There are three apples on the table. <br> [sound:4c-s-テーブルの上に三つのリンゴがあります。.mp3]
三月は春の始まりです。 <br><br> (三月)	<b>さんがつははるのはじまりです。</b> <br> March is the beginning of spring. <br> [sound:4c-s-三月は春の始まりです。.mp3]
三人とも日本語を話せます。 <br><br> (三人)	<b>さんにんともにほんごをはなせます。</b> <br> All three people can speak Japanese. <br> [sound:4c-s-三人とも日本語を話せます。.mp3]
会議とパーティーが同時に行われます。 <br><br> (同時)	<b>かいぎとパーティーがどうじにおこなわれます。</b> <br> The meeting and party will be held at the same time. <br> [sound:4c-s-会議とパーティーが同時に行われます。.mp3]
彼は同社の社員です。 <br><br> (同社)	<b>かれはどうしゃのしゃいんです。</b> <br> He is an employee of the same company. <br> [sound:4c-s-彼は同社の社員です。.mp3]
会議は同日に行われます。 <br><br> (同日)	<b>かいぎはどうじつにおこなわれます。</b> <br> The meeting will be held on the same day. <br> [sound:4c-s-会議は同日に行われます。.mp3]
共同で新しいプロジェクトを始めました。 <br><br> (共同)	<b>きょうどうであたらしいプロジェクトをはじめました。</b> <br> We started a new project together. <br> [sound:4c-s-共同で新しいプロジェクトを始めました。.mp3]
時間があるときに読書をします。 <br><br> (時)	<b>じかんがあるときにどくしょをします。</b> <br> I read books when I have time. <br> [sound:4c-s-時間があるときに読書をします。.mp3]
仕事に多くの時間を使います。 <br><br> (時間)	<b>しごとにおおくのじかんをつかいます。</b> <br> I spend a lot of time on work. <br> [sound:4c-s-仕事に多くの時間を使います。.mp3]
旅行の時期を決めるのが難しいです。 <br><br> (時期)	<b>りょこうのじきをきめるのがむずかしいです。</b> <br> It's difficult to decide the timing for travel. <br> [sound:4c-s-旅行の時期を決めるのが難しいです。.mp3]
彼は江戸時代の歴史が好きです。 <br><br> (時代)	<b>かれはえどじだいのれきしがすきです。</b> <br> He likes the history of the Edo period. <br> [sound:4c-s-彼は江戸時代の歴史が好きです。.mp3]
政界の変化が注目されています。 <br><br> (政)	<b>せいかいのへんかがちゅうもくされています。</b> <br> Changes in the political world are being noticed. <br> [sound:4c-s-政界の変化が注目されています。.mp3]
行政の役割は重要です。 <br><br> (行政)	<b>ぎょうせいのやくわりはじゅうようです。</b> <br> The role of administration is important. <br> [sound:4c-s-行政の役割は重要です。.mp3]
財政の改革が必要です。 <br><br> (財政)	<b>ざいせいのかいかくがひつようです。</b> <br> Fiscal reform is necessary. <br> [sound:4c-s-財政の改革が必要です。.mp3]
政界のニュースに興味があります。 <br><br> (政界)	<b>せいかいのニュースにきょうみがあります。</b> <br> I'm interested in political news. <br> [sound:4c-s-政界のニュースに興味があります。.mp3]
その事について詳しく話しましょう。 <br><br> (事)	<b>そのことについてくわしくはなしましょう。</b> <br> Let's talk about that matter in detail. <br> [sound:4c-s-その事について詳しく話しましょう。.mp3]
幹事が会を準備しています。 <br><br> (幹事)	<b>かんじがかいをじゅんびしています。</b> <br> The organizer is preparing the event. <br> [sound:4c-s-幹事が会を準備しています。.mp3]
新聞の記事を読みました。 <br><br> (記事)	<b>しんぶんのきじをよみました。</b> <br> I read the newspaper article. <br> [sound:4c-s-新聞の記事を読みました。.mp3]
軍事についての議論が続いています。 <br><br> (軍事)	<b>ぐんじについてのぎろんがつづいています。</b> <br> Discussions on military affairs are ongoing. <br> [sound:4c-s-軍事についての議論が続いています。.mp3]
彼が自ら計画を立てました。 <br><br> (自ら)	<b>かれがみずからけいかくをたてました。</b> <br> He made the plan himself. <br> [sound:4c-s-彼が自ら計画を立てました。.mp3]
自衛隊が救援活動を行っています。 <br><br> (自衛隊)	<b>じえいたいがきゅうえんかつどうをおこなっています。</b> <br> The Self-Defense Forces are conducting rescue operations. <br> [sound:4c-s-自衛隊が救援活動を行っています。.mp3]
自分自身を信じることが大切です。 <br><br> (自身)	<b>じぶんじしんをしんじることがたいせつです。</b> <br> It's important to believe in yourself. <br> [sound:4c-s-自分自身を信じることが大切です。.mp3]
自然の美しさを楽しんでいます。 <br><br> (自然)	<b>しぜんのうつくしさをたのしんでいます。</b> <br> I'm enjoying the beauty of nature. <br> [sound:4c-s-自然の美しさを楽しんでいます。.mp3]
彼はプロジェクトを行うことを決めました。 <br><br> (行う)	<b>かれはプロジェクトをおこなうことをきめました。</b> <br> He decided to carry out the project. <br> [sound:4c-s-彼はプロジェクトを行うことを決めました。.mp3]
彼は新しい事業を行っています。 <br><br> (行)	<b>かれはあたらしいじぎょうをおこなっています。</b> <br> He is running a new business. <br> [sound:4c-s-彼は新しい事業を行っています。.mp3]
銀行でお金を引き出しました。 <br><br> (銀行)	<b>ぎんこうでおかねをひきだしました。</b> <br> I withdrew money at the bank. <br> [sound:4c-s-銀行でお金を引き出しました。.mp3]
行政の決定が市民に影響します。 <br><br> (行政)	<b>ぎょうせいのけっていがしみんにえいきょうします。</b> <br> Administrative decisions affect citizens. <br> [sound:4c-s-行政の決定が市民に影響します。.mp3]
彼は新しい会社を設立しました。 <br><br> (会社)	<b>かれはあたらしいかいしゃをせつりつしました。</b> <br> He established a new company. <br> [sound:4c-s-彼は新しい会社を設立しました。.mp3]
社会の問題について考えました。 <br><br> (社会)	<b>しゃかいのもんだいについてかんがえました。</b> <br> I thought about social issues. <br> [sound:4c-s-社会の問題について考えました。.mp3]
社会党が政策を発表しました。 <br><br> (社会党)	<b>しゃかいとうがせいさくをはっぴょうしました。</b> <br> The Socialist Party announced its policies. <br> [sound:4c-s-社会党が政策を発表しました。.mp3]
社長が新しい戦略を考えています。 <br><br> (社長)	<b>しゃちょうがあたらしいせんりゃくをかんがえています。</b> <br> The president is considering a new strategy. <br> [sound:4c-s-社長が新しい戦略を考えています。.mp3]
彼の意見はとても興味深いです。 <br><br> (意見)	<b>かれのいけんはとてもきょうみぶかいです。</b> <br> His opinion is very interesting. <br> [sound:4c-s-彼の意見はとても興味深いです。.mp3]
会見で新しい方針が発表されました。 <br><br> (会見)	<b>かいけんであたらしいほうしんがはっぴょうされました。</b> <br> A new policy was announced at the press conference. <br> [sound:4c-s-会見で新しい方針が発表されました。.mp3]
この計画を見直す必要があります。 <br><br> (見直し)	<b>このけいかくをみなおすひつようがあります。</b> <br> We need to revise this plan. <br> [sound:4c-s-この計画を見直す必要があります。.mp3]
歴史の見方は人それぞれです。 <br><br> (見方)	<b>れきしのみかたはひとそれぞれです。</b> <br> Everyone has their own perspective on history. <br> [sound:4c-s-歴史の見方は人それぞれです。.mp3]
一月は寒いです。 <br><br> (一月)	<b>いちがつはさむいです。</b> <br> January is cold. <br> [sound:4c-s-一月は寒いです。.mp3]
九月には新学期が始まります。 <br><br> (九月)	<b>くがつにはしんがっきがはじまります。</b> <br> A new school term begins in September. <br> [sound:4c-s-九月には新学期が始まります。.mp3]
五月は気候が快適です。 <br><br> (五月)	<b>ごがつはきこうがかいてきです。</b> <br> May has pleasant weather. <br> [sound:4c-s-五月は気候が快適です。.mp3]
今月の売上が増えました。 <br><br> (今月)	<b>こんげつのうりあげがふえました。</b> <br> This month’s sales have increased. <br> [sound:4c-s-今月の売上が増えました。.mp3]
仕事を効率的に分けましょう。 <br><br> (分け)	<b>しごとをこうりつてきにわけましょう。</b> <br> Let's divide the work efficiently. <br> [sound:4c-s-仕事を効率的に分けましょう。.mp3]
チームを二つに分けました。 <br><br> (分ける)	<b>チームをふたつにわけました。</b> <br> I divided the team into two. <br> [sound:4c-s-チームを二つに分けました。.mp3]
自分の夢を追い続けています。 <br><br> (自分)	<b>じぶんのゆめをおいつづけています。</b> <br> I am chasing my own dreams. <br> [sound:4c-s-自分の夢を追い続けています。.mp3]
この本の重要な部分を読みました。 <br><br> (部分)	<b>このほんのじゅうようなぶぶんをよみました。</b> <br> I read the important parts of this book. <br> [sound:4c-s-この本の重要な部分を読みました。.mp3]
来週の会議に出席します。 <br><br> (会議)	<b>らいしゅうのかいぎにしゅっせきします。</b> <br> I will attend next week's meeting. <br> [sound:4c-s-来週の会議に出席します。.mp3]
議員が法律を議論しています。 <br><br> (議員)	<b>ぎいんがほうりつをぎろんしています。</b> <br> Members of parliament are discussing the law. <br> [sound:4c-s-議員が法律を議論しています。.mp3]
議会で新しい法案が審議されました。 <br><br> (議会)	<b>ぎかいであたらしいほうあんがしんぎされました。</b> <br> The new bill was discussed in the parliament. <br> [sound:4c-s-議会で新しい法案が審議されました。.mp3]
議長が会議を進めました。 <br><br> (議長)	<b>ぎちょうがかいぎをすすめました。</b> <br> The chairperson led the meeting. <br> [sound:4c-s-議長が会議を進めました。.mp3]
会議の後で話しましょう。 <br><br> (後)	<b>かいぎのあとではなしましょう。</b> <br> Let's talk after the meeting. <br> [sound:4c-s-会議の後で話しましょう。.mp3]
午後には天気が良くなります。 <br><br> (午後)	<b>ごごにはてんきがよくなります。</b> <br> The weather will improve in the afternoon. <br> [sound:4c-s-午後には天気が良くなります。.mp3]
彼の後ろに誰かがいます。 <br><br> (後ろ)	<b>かれのうしろにだれかがいます。</b> <br> There is someone behind him. <br> [sound:4c-s-彼の後ろに誰かがいます。.mp3]
今後の計画について話し合いましょう。 <br><br> (今後)	<b>こんごのけいかくについてはなしあいましょう。</b> <br> Let's discuss future plans. <br> [sound:4c-s-今後の計画について話し合いましょう。.mp3]
午前中に会議があります。 <br><br> (午前)	<b>ごぜんちゅうにかいぎがあります。</b> <br> There is a meeting in the morning. <br> [sound:4c-s-午前中に会議があります。.mp3]
前年より売上が増えました。 <br><br> (前年)	<b>ぜんねんよりうりあげがふえました。</b> <br> Sales increased compared to the previous year. <br> [sound:4c-s-前年より売上が増えました。.mp3]
前回の試験は難しかったです。 <br><br> (前回)	<b>ぜんかいのしけんはむずかしかったです。</b> <br> The previous exam was difficult. <br> [sound:4c-s-前回の試験は難しかったです。.mp3]
成功の前提は努力です。 <br><br> (前提)	<b>せいこうのぜんていはどりょくです。</b> <br> The premise of success is effort. <br> [sound:4c-s-成功の前提は努力です。.mp3]
民の意見を尊重すべきです。 <br><br> (民)	<b>たみのいけんをそんちょうすべきです。</b> <br> The people's opinions should be respected. <br> [sound:4c-s-民の意見を尊重すべきです。.mp3]
国民は自由を求めています。 <br><br> (国民)	<b>こくみんはじゆうをもとめています。</b> <br> The citizens are seeking freedom. <br> [sound:4c-s-国民は自由を求めています。.mp3]
市民が公園の清掃活動を行いました。 <br><br> (市民)	<b>しみんがこうえんのせいそうかつどうをおこないました。</b> <br> The citizens carried out a park cleanup. <br> [sound:4c-s-市民が公園の清掃活動を行いました。.mp3]
住民が新しい規則について話し合いました。 <br><br> (住民)	<b>じゅうみんがあたらしいきそくについてはなしあいました。</b> <br> Residents discussed new regulations. <br> [sound:4c-s-住民が新しい規則について話し合いました。.mp3]
人生を楽しく生きましょう。 <br><br> (生きる)	<b>じんせいをたのしくいきましょう。</b> <br> Let's live life happily. <br> [sound:4c-s-人生を楽しく生きましょう。.mp3]
学生たちは図書館で勉強しています。 <br><br> (学生)	<b>がくせいたちはとしょかんでべんきょうしています。</b> <br> Students are studying in the library. <br> [sound:4c-s-学生たちは図書館で勉強しています。.mp3]
健康的な生活を送りたいです。 <br><br> (生活)	<b>けんこうてきなせいかつをおくりたいです。</b> <br> I want to lead a healthy life. <br> [sound:4c-s-健康的な生活を送りたいです。.mp3]
工場で新しい製品を生産しています。 <br><br> (生産)	<b>こうじょうであたらしいせいひんをせいさんしています。</b> <br> The factory is producing new products. <br> [sound:4c-s-工場で新しい製品を生産しています。.mp3]
連絡をください。 <br><br> (連)	<b>れんらくをください。</b> <br> Please contact me. <br> [sound:4c-s-連絡をください。.mp3]
この話は環境問題に関連しています。 <br><br> (関連)	<b>このはなしはかんきょうもんだいにかんれんしています。</b> <br> This story is related to environmental issues. <br> [sound:4c-s-この話は環境問題に関連しています。.mp3]
国連は国際問題を解決するために活動しています。 <br><br> (国連)	<b>こくれんはこくさいもんだいをかいけつするためにかつどうしています。</b> <br> The UN is working to resolve international issues. <br> [sound:4c-s-国連は国際問題を解決するために活動しています。.mp3]
連合軍が作戦を開始しました。 <br><br> (連合)	<b>れんごうぐんがさくせんをかいししました。</b> <br> The allied forces began their operation. <br> [sound:4c-s-連合軍が作戦を開始しました。.mp3]
五つの質問があります。 <br><br> (五)	<b>いつつのしつもんがあります。</b> <br> There are five questions. <br> [sound:4c-s-五つの質問があります。.mp3]
五月は気持ちの良い季節です。 <br><br> (五月)	<b>ごがつはきもちのよいきせつです。</b> <br> May is a pleasant season. <br> [sound:4c-s-五月は気持ちの良い季節です。.mp3]
十五分後に会議が始まります。 <br><br> (十五)	<b>じゅうごふんごにかいぎがはじまります。</b> <br> The meeting starts in fifteen minutes. <br> [sound:4c-s-十五分後に会議が始まります。.mp3]
