この都市は活気があります。 <br><br> (都市)	<b>このとしはかっきがあります。</b> <br> This city is vibrant. <br> [sound:4c-s-この都市は活気があります。.mp3]
This city is vibrant.	<b>この都市は活気があります。</b> <br> このとしはかっきがあります。 <br><br> (都市) <br> [sound:4c-s-この都市は活気があります。.mp3]
[sound:4c-k-業.mp3]	<b>業</b> <br> ごう <br> karma (i.e. actions committed in a former life)
業	<b>ごう</b> <br> karma (i.e. actions committed in a former life) <br> [sound:4c-k-業.mp3]
karma (i.e. actions committed in a former life)	<b>業</b> <br> ごう <br> [sound:4c-k-業.mp3]
[sound:4c-s-彼は飲食業に従事しています。.mp3]	<b>彼は飲食業に従事しています。</b> <br> かれはいんしょくぎょうにじゅうじしています。 <br><br> (業) <br> He works in the food service industry.
彼は飲食業に従事しています。 <br><br> (業)	<b>かれはいんしょくぎょうにじゅうじしています。</b> <br> He works in the food service industry. <br> [sound:4c-s-彼は飲食業に従事しています。.mp3]
He works in the food service industry.	<b>彼は飲食業に従事しています。</b> <br> かれはいんしょくぎょうにじゅうじしています。 <br><br> (業) <br> [sound:4c-s-彼は飲食業に従事しています。.mp3]
[sound:4c-k-企業.mp3]	<b>企業</b> <br> きぎょう <br> enterprise, undertaking, corporation, business
企業	<b>きぎょう</b> <br> enterprise, undertaking, corporation, business <br> [sound:4c-k-企業.mp3]
enterprise, undertaking, corporation, business	<b>企業</b> <br> きぎょう <br> [sound:4c-k-企業.mp3]
[sound:4c-s-新しい企業が設立されました。.mp3]	<b>新しい企業が設立されました。</b> <br> あたらしいきぎょうがせつりつされました。 <br><br> (企業) <br> A new company was established.
新しい企業が設立されました。 <br><br> (企業)	<b>あたらしいきぎょうがせつりつされました。</b> <br> A new company was established. <br> [sound:4c-s-新しい企業が設立されました。.mp3]
A new company was established.	<b>新しい企業が設立されました。</b> <br> あたらしいきぎょうがせつりつされました。 <br><br> (企業) <br> [sound:4c-s-新しい企業が設立されました。.mp3]
[sound:4c-k-業界.mp3]	<b>業界</b> <br> ぎょうかい <br> industry, business
業界	<b>ぎょうかい</b> <br> industry, business <br> [sound:4c-k-業界.mp3]
industry, business	<b>業界</b> <br> ぎょうかい <br> [sound:4c-k-業界.mp3]
[sound:4c-s-この業界は成長しています。.mp3]	<b>この業界は成長しています。</b> <br> このぎょうかいはせいちょうしています。 <br><br> (業界) <br> This industry is growing.
この業界は成長しています。 <br><br> (業界)	<b>このぎょうかいはせいちょうしています。</b> <br> This industry is growing. <br> [sound:4c-s-この業界は成長しています。.mp3]
This industry is growing.	<b>この業界は成長しています。</b> <br> このぎょうかいはせいちょうしています。 <br><br> (業界) <br> [sound:4c-s-この業界は成長しています。.mp3]
[sound:4c-k-業者.mp3]	<b>業者</b> <br> ぎょうしゃ <br> trader, merchant
業者	<b>ぎょうしゃ</b> <br> trader, merchant <br> [sound:4c-k-業者.mp3]
trader, merchant	<b>業者</b> <br> ぎょうしゃ <br> [sound:4c-k-業者.mp3]
[sound:4c-s-業者と契約を結びました。.mp3]	<b>業者と契約を結びました。</b> <br> ぎょうしゃとけいやくをむすびました。 <br><br> (業者) <br> I signed a contract with the vendor.
業者と契約を結びました。 <br><br> (業者)	<b>ぎょうしゃとけいやくをむすびました。</b> <br> I signed a contract with the vendor. <br> [sound:4c-s-業者と契約を結びました。.mp3]
I signed a contract with the vendor.	<b>業者と契約を結びました。</b> <br> ぎょうしゃとけいやくをむすびました。 <br><br> (業者) <br> [sound:4c-s-業者と契約を結びました。.mp3]
[sound:4c-k-内.mp3]	<b>内</b> <br> うち <br> inside, within; while; among, amongst, between; we (referring to one's in-group, i.e. company, etc.); my spouse; imperial palace grounds; emperor; I (primarily used by women and children), me
内	<b>うち</b> <br> inside, within; while; among, amongst, between; we (referring to one's in-group, i.e. company, etc.); my spouse; imperial palace grounds; emperor; I (primarily used by women and children), me <br> [sound:4c-k-内.mp3]
inside, within; while; among, amongst, between; we (referring to one's in-group, i.e. company, etc.); my spouse; imperial palace grounds; emperor; I (primarily used by women and children), me	<b>内</b> <br> うち <br> [sound:4c-k-内.mp3]
[sound:4c-s-部屋の内装を変更しました。.mp3]	<b>部屋の内装を変更しました。</b> <br> へやのないそうをへんこうしました。 <br><br> (内) <br> I changed the room's interior design.
部屋の内装を変更しました。 <br><br> (内)	<b>へやのないそうをへんこうしました。</b> <br> I changed the room's interior design. <br> [sound:4c-s-部屋の内装を変更しました。.mp3]
I changed the room's interior design.	<b>部屋の内装を変更しました。</b> <br> へやのないそうをへんこうしました。 <br><br> (内) <br> [sound:4c-s-部屋の内装を変更しました。.mp3]
[sound:4c-k-国内.mp3]	<b>国内</b> <br> こくない <br> internal, domestic
国内	<b>こくない</b> <br> internal, domestic <br> [sound:4c-k-国内.mp3]
internal, domestic	<b>国内</b> <br> こくない <br> [sound:4c-k-国内.mp3]
[sound:4c-s-国内旅行が人気です。.mp3]	<b>国内旅行が人気です。</b> <br> こくないりょこうがにんきです。 <br><br> (国内) <br> Domestic travel is popular.
国内旅行が人気です。 <br><br> (国内)	<b>こくないりょこうがにんきです。</b> <br> Domestic travel is popular. <br> [sound:4c-s-国内旅行が人気です。.mp3]
Domestic travel is popular.	<b>国内旅行が人気です。</b> <br> こくないりょこうがにんきです。 <br><br> (国内) <br> [sound:4c-s-国内旅行が人気です。.mp3]
[sound:4c-k-市内.mp3]	<b>市内</b> <br> しない <br> (within a) city, local
市内	<b>しない</b> <br> (within a) city, local <br> [sound:4c-k-市内.mp3]
(within a) city, local	<b>市内</b> <br> しない <br> [sound:4c-k-市内.mp3]
[sound:4c-s-市内の交通が混雑しています。.mp3]	<b>市内の交通が混雑しています。</b> <br> しないのこうつうがこんざつしています。 <br><br> (市内) <br> Traffic within the city is congested.
市内の交通が混雑しています。 <br><br> (市内)	<b>しないのこうつうがこんざつしています。</b> <br> Traffic within the city is congested. <br> [sound:4c-s-市内の交通が混雑しています。.mp3]
Traffic within the city is congested.	<b>市内の交通が混雑しています。</b> <br> しないのこうつうがこんざつしています。 <br><br> (市内) <br> [sound:4c-s-市内の交通が混雑しています。.mp3]
[sound:4c-k-都内.mp3]	<b>都内</b> <br> とない <br> metropolitan area
都内	<b>とない</b> <br> metropolitan area <br> [sound:4c-k-都内.mp3]
metropolitan area	<b>都内</b> <br> とない <br> [sound:4c-k-都内.mp3]
[sound:4c-s-都内には多くの企業があります。.mp3]	<b>都内には多くの企業があります。</b> <br> とないにはおおくのきぎょうがあります。 <br><br> (都内) <br> There are many companies in the metropolitan area.
都内には多くの企業があります。 <br><br> (都内)	<b>とないにはおおくのきぎょうがあります。</b> <br> There are many companies in the metropolitan area. <br> [sound:4c-s-都内には多くの企業があります。.mp3]
There are many companies in the metropolitan area.	<b>都内には多くの企業があります。</b> <br> とないにはおおくのきぎょうがあります。 <br><br> (都内) <br> [sound:4c-s-都内には多くの企業があります。.mp3]
[sound:4c-k-外相.mp3]	<b>外相</b> <br> がいしょう <br> Foreign Minister
外相	<b>がいしょう</b> <br> Foreign Minister <br> [sound:4c-k-外相.mp3]
Foreign Minister	<b>外相</b> <br> がいしょう <br> [sound:4c-k-外相.mp3]
[sound:4c-s-外相が会談を行いました。.mp3]	<b>外相が会談を行いました。</b> <br> がいしょうがかいだんをおこないました。 <br><br> (外相) <br> The foreign minister held a meeting.
外相が会談を行いました。 <br><br> (外相)	<b>がいしょうがかいだんをおこないました。</b> <br> The foreign minister held a meeting. <br> [sound:4c-s-外相が会談を行いました。.mp3]
The foreign minister held a meeting.	<b>外相が会談を行いました。</b> <br> がいしょうがかいだんをおこないました。 <br><br> (外相) <br> [sound:4c-s-外相が会談を行いました。.mp3]
[sound:4c-k-首相.mp3]	<b>首相</b> <br> しゅしょう <br> Prime Minister, Chancellor (Germany, Austria, etc.), Premier
首相	<b>しゅしょう</b> <br> Prime Minister, Chancellor (Germany, Austria, etc.), Premier <br> [sound:4c-k-首相.mp3]
Prime Minister, Chancellor (Germany, Austria, etc.), Premier	<b>首相</b> <br> しゅしょう <br> [sound:4c-k-首相.mp3]
[sound:4c-s-首相が国民に演説しました。.mp3]	<b>首相が国民に演説しました。</b> <br> しゅしょうがこくみんにえんぜつしました。 <br><br> (首相) <br> The Prime Minister gave a speech to the citizens.
首相が国民に演説しました。 <br><br> (首相)	<b>しゅしょうがこくみんにえんぜつしました。</b> <br> The Prime Minister gave a speech to the citizens. <br> [sound:4c-s-首相が国民に演説しました。.mp3]
The Prime Minister gave a speech to the citizens.	<b>首相が国民に演説しました。</b> <br> しゅしょうがこくみんにえんぜつしました。 <br><br> (首相) <br> [sound:4c-s-首相が国民に演説しました。.mp3]
[sound:4c-k-相手.mp3]	<b>相手</b> <br> あいて <br> companion, partner, company; other party, addressee; opponent (sports, etc.)
相手	<b>あいて</b> <br> companion, partner, company; other party, addressee; opponent (sports, etc.) <br> [sound:4c-k-相手.mp3]
companion, partner, company; other party, addressee; opponent (sports, etc.)	<b>相手</b> <br> あいて <br> [sound:4c-k-相手.mp3]
[sound:4c-s-相手の意見を尊重しましょう。.mp3]	<b>相手の意見を尊重しましょう。</b> <br> あいてのいけんをそんちょうしましょう。 <br><br> (相手) <br> Let's respect the other person's opinion.
相手の意見を尊重しましょう。 <br><br> (相手)	<b>あいてのいけんをそんちょうしましょう。</b> <br> Let's respect the other person's opinion. <br> [sound:4c-s-相手の意見を尊重しましょう。.mp3]
Let's respect the other person's opinion.	<b>相手の意見を尊重しましょう。</b> <br> あいてのいけんをそんちょうしましょう。 <br><br> (相手) <br> [sound:4c-s-相手の意見を尊重しましょう。.mp3]
[sound:4c-k-相談.mp3]	<b>相談</b> <br> そうだん <br> consultation, discussion
相談	<b>そうだん</b> <br> consultation, discussion <br> [sound:4c-k-相談.mp3]
consultation, discussion	<b>相談</b> <br> そうだん <br> [sound:4c-k-相談.mp3]
[sound:4c-s-問題について相談しました。.mp3]	<b>問題について相談しました。</b> <br> もんだいについてそうだんしました。 <br><br> (相談) <br> I discussed the issue.
問題について相談しました。 <br><br> (相談)	<b>もんだいについてそうだんしました。</b> <br> I discussed the issue. <br> [sound:4c-s-問題について相談しました。.mp3]
I discussed the issue.	<b>問題について相談しました。</b> <br> もんだいについてそうだんしました。 <br><br> (相談) <br> [sound:4c-s-問題について相談しました。.mp3]
[sound:4c-k-一方.mp3]	<b>一方</b> <br> いっぽう <br> one (esp. of two), the other, one way, the other way, one direction, the other direction, one side, the other side, one party, the other party; on the one hand, on the other hand; whereas, although, but at the same time, meanwhile, in turn; (after noun, adjective-stem or plain verb) just keeps, being inclined to ..., tending to be ..., tending to do ..., ntinuously ..., just keeps on ...ing, only
一方	<b>いっぽう</b> <br> one (esp. of two), the other, one way, the other way, one direction, the other direction, one side, the other side, one party, the other party; on the one hand, on the other hand; whereas, although, but at the same time, meanwhile, in turn; (after noun, adjective-stem or plain verb) just keeps, being inclined to ..., tending to be ..., tending to do ..., ntinuously ..., just keeps on ...ing, only <br> [sound:4c-k-一方.mp3]
one (esp. of two), the other, one way, the other way, one direction, the other direction, one side, the other side, one party, the other party; on the one hand, on the other hand; whereas, although, but at the same time, meanwhile, in turn; (after noun, adjective-stem or plain verb) just keeps, being inclined to ..., tending to be ..., tending to do ..., ntinuously ..., just keeps on ...ing, only	<b>一方</b> <br> いっぽう <br> [sound:4c-k-一方.mp3]
[sound:4c-s-彼は一方的に話し続けました。.mp3]	<b>彼は一方的に話し続けました。</b> <br> かれはいっぽうてきにはなしつづけました。 <br><br> (一方) <br> He kept talking one-sidedly.
彼は一方的に話し続けました。 <br><br> (一方)	<b>かれはいっぽうてきにはなしつづけました。</b> <br> He kept talking one-sidedly. <br> [sound:4c-s-彼は一方的に話し続けました。.mp3]
He kept talking one-sidedly.	<b>彼は一方的に話し続けました。</b> <br> かれはいっぽうてきにはなしつづけました。 <br><br> (一方) <br> [sound:4c-s-彼は一方的に話し続けました。.mp3]
[sound:4c-k-見方.mp3]	<b>見方</b> <br> みかた <br> viewpoint
見方	<b>みかた</b> <br> viewpoint <br> [sound:4c-k-見方.mp3]
viewpoint	<b>見方</b> <br> みかた <br> [sound:4c-k-見方.mp3]
[sound:4c-s-それぞれの見方が異なります。.mp3]	<b>それぞれの見方が異なります。</b> <br> それぞれのみかたがことなります。 <br><br> (見方) <br> Each perspective is different.
それぞれの見方が異なります。 <br><br> (見方)	<b>それぞれのみかたがことなります。</b> <br> Each perspective is different. <br> [sound:4c-s-それぞれの見方が異なります。.mp3]
Each perspective is different.	<b>それぞれの見方が異なります。</b> <br> それぞれのみかたがことなります。 <br><br> (見方) <br> [sound:4c-s-それぞれの見方が異なります。.mp3]
[sound:4c-k-地方.mp3]	<b>地方</b> <br> ちほう, じかた <br> area, locality, district, region, province; countryside, rural area; coast (esp. as seen from the water); person singing ballads in Noh, person in charge of music in a Japanese dance performance
地方	<b>ちほう, じかた</b> <br> area, locality, district, region, province; countryside, rural area; coast (esp. as seen from the water); person singing ballads in Noh, person in charge of music in a Japanese dance performance <br> [sound:4c-k-地方.mp3]
area, locality, district, region, province; countryside, rural area; coast (esp. as seen from the water); person singing ballads in Noh, person in charge of music in a Japanese dance performance	<b>地方</b> <br> ちほう, じかた <br> [sound:4c-k-地方.mp3]
[sound:4c-s-地方の文化を学びました。.mp3]	<b>地方の文化を学びました。</b> <br> ちほうのぶんかをまなびました。 <br><br> (地方) <br> I learned about local culture.
地方の文化を学びました。 <br><br> (地方)	<b>ちほうのぶんかをまなびました。</b> <br> I learned about local culture. <br> [sound:4c-s-地方の文化を学びました。.mp3]
I learned about local culture.	<b>地方の文化を学びました。</b> <br> ちほうのぶんかをまなびました。 <br><br> (地方) <br> [sound:4c-s-地方の文化を学びました。.mp3]
[sound:4c-k-方向.mp3]	<b>方向</b> <br> ほうこう <br> direction, orientation, bearing, way; course (e.g. of action)
方向	<b>ほうこう</b> <br> direction, orientation, bearing, way; course (e.g. of action) <br> [sound:4c-k-方向.mp3]
direction, orientation, bearing, way; course (e.g. of action)	<b>方向</b> <br> ほうこう <br> [sound:4c-k-方向.mp3]
[sound:4c-s-進む方向を決めました。.mp3]	<b>進む方向を決めました。</b> <br> すすむほうこうをきめました。 <br><br> (方向) <br> I decided the direction to move forward.
進む方向を決めました。 <br><br> (方向)	<b>すすむほうこうをきめました。</b> <br> I decided the direction to move forward. <br> [sound:4c-s-進む方向を決めました。.mp3]
I decided the direction to move forward.	<b>進む方向を決めました。</b> <br> すすむほうこうをきめました。 <br><br> (方向) <br> [sound:4c-s-進む方向を決めました。.mp3]
[sound:4c-k-四.mp3]	<b>四</b> <br> よん, し, よ <br> four
四	<b>よん, し, よ</b> <br> four <br> [sound:4c-k-四.mp3]
four	<b>四</b> <br> よん, し, よ <br> [sound:4c-k-四.mp3]
[sound:4c-s-四つの選択肢があります。.mp3]	<b>四つの選択肢があります。</b> <br> よっつのせんたくしがあります。 <br><br> (四) <br> There are four choices.
四つの選択肢があります。 <br><br> (四)	<b>よっつのせんたくしがあります。</b> <br> There are four choices. <br> [sound:4c-s-四つの選択肢があります。.mp3]
There are four choices.	<b>四つの選択肢があります。</b> <br> よっつのせんたくしがあります。 <br><br> (四) <br> [sound:4c-s-四つの選択肢があります。.mp3]
[sound:4c-k-四つ.mp3]	<b>四つ</b> <br> よっつ <br> four
四つ	<b>よっつ</b> <br> four <br> [sound:4c-k-四つ.mp3]
four	<b>四つ</b> <br> よっつ <br> [sound:4c-k-四つ.mp3]
[sound:4c-s-テーブルの上に四つの皿があります。.mp3]	<b>テーブルの上に四つの皿があります。</b> <br> テーブルのうえによっつのさらがあります。 <br><br> (四つ) <br> There are four plates on the table.
テーブルの上に四つの皿があります。 <br><br> (四つ)	<b>テーブルのうえによっつのさらがあります。</b> <br> There are four plates on the table. <br> [sound:4c-s-テーブルの上に四つの皿があります。.mp3]
There are four plates on the table.	<b>テーブルの上に四つの皿があります。</b> <br> テーブルのうえによっつのさらがあります。 <br><br> (四つ) <br> [sound:4c-s-テーブルの上に四つの皿があります。.mp3]
[sound:4c-k-四月.mp3]	<b>四月</b> <br> しがつ <br> April
四月	<b>しがつ</b> <br> April <br> [sound:4c-k-四月.mp3]
April	<b>四月</b> <br> しがつ <br> [sound:4c-k-四月.mp3]
[sound:4c-s-四月は桜が美しいです。.mp3]	<b>四月は桜が美しいです。</b> <br> しがつはさくらがうつくしいです。 <br><br> (四月) <br> April has beautiful cherry blossoms.
四月は桜が美しいです。 <br><br> (四月)	<b>しがつはさくらがうつくしいです。</b> <br> April has beautiful cherry blossoms. <br> [sound:4c-s-四月は桜が美しいです。.mp3]
April has beautiful cherry blossoms.	<b>四月は桜が美しいです。</b> <br> しがつはさくらがうつくしいです。 <br><br> (四月) <br> [sound:4c-s-四月は桜が美しいです。.mp3]
[sound:4c-k-十四.mp3]	<b>十四</b> <br> じゅうし, じゅうよん <br> 14, fourteen
十四	<b>じゅうし, じゅうよん</b> <br> 14, fourteen <br> [sound:4c-k-十四.mp3]
14, fourteen	<b>十四</b> <br> じゅうし, じゅうよん <br> [sound:4c-k-十四.mp3]
