the said person, he, she, same person	<b>同氏</b> <br> どうし <br> [sound:4c-k-同氏.mp3]
[sound:4c-s-同氏は重要な発言をしました。.mp3]	<b>同氏は重要な発言をしました。</b> <br> どうしはじゅうようなはつげんをしました。 <br><br> (同氏) <br> The same person made an important statement.
同氏は重要な発言をしました。 <br><br> (同氏)	<b>どうしはじゅうようなはつげんをしました。</b> <br> The same person made an important statement. <br> [sound:4c-s-同氏は重要な発言をしました。.mp3]
The same person made an important statement.	<b>同氏は重要な発言をしました。</b> <br> どうしはじゅうようなはつげんをしました。 <br><br> (同氏) <br> [sound:4c-s-同氏は重要な発言をしました。.mp3]
[sound:4c-k-両氏.mp3]	<b>両氏</b> <br> りょうし <br> both persons
両氏	<b>りょうし</b> <br> both persons <br> [sound:4c-k-両氏.mp3]
both persons	<b>両氏</b> <br> りょうし <br> [sound:4c-k-両氏.mp3]
[sound:4c-s-両氏は会議に参加しました。.mp3]	<b>両氏は会議に参加しました。</b> <br> りょうしはかいぎにさんかしました。 <br><br> (両氏) <br> Both individuals attended the meeting.
両氏は会議に参加しました。 <br><br> (両氏)	<b>りょうしはかいぎにさんかしました。</b> <br> Both individuals attended the meeting. <br> [sound:4c-s-両氏は会議に参加しました。.mp3]
Both individuals attended the meeting.	<b>両氏は会議に参加しました。</b> <br> りょうしはかいぎにさんかしました。 <br><br> (両氏) <br> [sound:4c-s-両氏は会議に参加しました。.mp3]
[sound:4c-k-現在.mp3]	<b>現在</b> <br> げんざい <br> now, current, present, present time, as of
現在	<b>げんざい</b> <br> now, current, present, present time, as of <br> [sound:4c-k-現在.mp3]
now, current, present, present time, as of	<b>現在</b> <br> げんざい <br> [sound:4c-k-現在.mp3]
[sound:4c-s-彼は現在、海外で働いています。.mp3]	<b>彼は現在、海外で働いています。</b> <br> かれはげんざい、かいがいではたらいています。 <br><br> (現在) <br> He is currently working abroad.
彼は現在、海外で働いています。 <br><br> (現在)	<b>かれはげんざい、かいがいではたらいています。</b> <br> He is currently working abroad. <br> [sound:4c-s-彼は現在、海外で働いています。.mp3]
He is currently working abroad.	<b>彼は現在、海外で働いています。</b> <br> かれはげんざい、かいがいではたらいています。 <br><br> (現在) <br> [sound:4c-s-彼は現在、海外で働いています。.mp3]
[sound:4c-k-現実.mp3]	<b>現実</b> <br> げんじつ <br> reality
現実	<b>げんじつ</b> <br> reality <br> [sound:4c-k-現実.mp3]
reality	<b>現実</b> <br> げんじつ <br> [sound:4c-k-現実.mp3]
[sound:4c-s-現実を受け入れることが重要です。.mp3]	<b>現実を受け入れることが重要です。</b> <br> げんじつをうけいれることがじゅうようです。 <br><br> (現実) <br> Accepting reality is important.
現実を受け入れることが重要です。 <br><br> (現実)	<b>げんじつをうけいれることがじゅうようです。</b> <br> Accepting reality is important. <br> [sound:4c-s-現実を受け入れることが重要です。.mp3]
Accepting reality is important.	<b>現実を受け入れることが重要です。</b> <br> げんじつをうけいれることがじゅうようです。 <br><br> (現実) <br> [sound:4c-s-現実を受け入れることが重要です。.mp3]
[sound:4c-k-現場.mp3]	<b>現場</b> <br> げんば, げんじょう <br> actual spot, scene, scene of the crime
現場	<b>げんば, げんじょう</b> <br> actual spot, scene, scene of the crime <br> [sound:4c-k-現場.mp3]
actual spot, scene, scene of the crime	<b>現場</b> <br> げんば, げんじょう <br> [sound:4c-k-現場.mp3]
[sound:4c-s-現場で問題を解決しました。.mp3]	<b>現場で問題を解決しました。</b> <br> げんばでもんだいをかいけつしました。 <br><br> (現場) <br> I solved the problem at the scene.
現場で問題を解決しました。 <br><br> (現場)	<b>げんばでもんだいをかいけつしました。</b> <br> I solved the problem at the scene. <br> [sound:4c-s-現場で問題を解決しました。.mp3]
I solved the problem at the scene.	<b>現場で問題を解決しました。</b> <br> げんばでもんだいをかいけつしました。 <br><br> (現場) <br> [sound:4c-s-現場で問題を解決しました。.mp3]
[sound:4c-k-現地.mp3]	<b>現地</b> <br> げんち <br> actual place, local
現地	<b>げんち</b> <br> actual place, local <br> [sound:4c-k-現地.mp3]
actual place, local	<b>現地</b> <br> げんち <br> [sound:4c-k-現地.mp3]
[sound:4c-s-現地での調査が行われました。.mp3]	<b>現地での調査が行われました。</b> <br> げんちでのちょうさがおこなわれました。 <br><br> (現地) <br> An investigation was conducted on-site.
現地での調査が行われました。 <br><br> (現地)	<b>げんちでのちょうさがおこなわれました。</b> <br> An investigation was conducted on-site. <br> [sound:4c-s-現地での調査が行われました。.mp3]
An investigation was conducted on-site.	<b>現地での調査が行われました。</b> <br> げんちでのちょうさがおこなわれました。 <br><br> (現地) <br> [sound:4c-s-現地での調査が行われました。.mp3]
[sound:4c-k-理.mp3]	<b>理</b> <br> り <br> reason, principle, logic; general principle (as opposed to individual concrete phenomenon); (in neo-Confucianism) the underlying principles of the cosmos
理	<b>り</b> <br> reason, principle, logic; general principle (as opposed to individual concrete phenomenon); (in neo-Confucianism) the underlying principles of the cosmos <br> [sound:4c-k-理.mp3]
reason, principle, logic; general principle (as opposed to individual concrete phenomenon); (in neo-Confucianism) the underlying principles of the cosmos	<b>理</b> <br> り <br> [sound:4c-k-理.mp3]
[sound:4c-s-物理学を学ぶのが好きです。.mp3]	<b>物理学を学ぶのが好きです。</b> <br> ぶつりがくをまなぶのがすきです。 <br><br> (理) <br> I like studying physics.
物理学を学ぶのが好きです。 <br><br> (理)	<b>ぶつりがくをまなぶのがすきです。</b> <br> I like studying physics. <br> [sound:4c-s-物理学を学ぶのが好きです。.mp3]
I like studying physics.	<b>物理学を学ぶのが好きです。</b> <br> ぶつりがくをまなぶのがすきです。 <br><br> (理) <br> [sound:4c-s-物理学を学ぶのが好きです。.mp3]
[sound:4c-k-管理.mp3]	<b>管理</b> <br> かんり <br> control, management (e.g. of a business)
管理	<b>かんり</b> <br> control, management (e.g. of a business) <br> [sound:4c-k-管理.mp3]
control, management (e.g. of a business)	<b>管理</b> <br> かんり <br> [sound:4c-k-管理.mp3]
[sound:4c-s-彼はプロジェクトの管理を担当しています。.mp3]	<b>彼はプロジェクトの管理を担当しています。</b> <br> かれはプロジェクトのかんりをたんとうしています。 <br><br> (管理) <br> He is in charge of project management.
彼はプロジェクトの管理を担当しています。 <br><br> (管理)	<b>かれはプロジェクトのかんりをたんとうしています。</b> <br> He is in charge of project management. <br> [sound:4c-s-彼はプロジェクトの管理を担当しています。.mp3]
He is in charge of project management.	<b>彼はプロジェクトの管理を担当しています。</b> <br> かれはプロジェクトのかんりをたんとうしています。 <br><br> (管理) <br> [sound:4c-s-彼はプロジェクトの管理を担当しています。.mp3]
[sound:4c-k-理事.mp3]	<b>理事</b> <br> りじ <br> director, board of directors
理事	<b>りじ</b> <br> director, board of directors <br> [sound:4c-k-理事.mp3]
director, board of directors	<b>理事</b> <br> りじ <br> [sound:4c-k-理事.mp3]
[sound:4c-s-彼は会社の理事を務めています。.mp3]	<b>彼は会社の理事を務めています。</b> <br> かれはかいしゃのりじをつとめています。 <br><br> (理事) <br> He serves as the company director.
彼は会社の理事を務めています。 <br><br> (理事)	<b>かれはかいしゃのりじをつとめています。</b> <br> He serves as the company director. <br> [sound:4c-s-彼は会社の理事を務めています。.mp3]
He serves as the company director.	<b>彼は会社の理事を務めています。</b> <br> かれはかいしゃのりじをつとめています。 <br><br> (理事) <br> [sound:4c-s-彼は会社の理事を務めています。.mp3]
[sound:4c-k-理由.mp3]	<b>理由</b> <br> りゆう <br> reason, pretext, motive
理由	<b>りゆう</b> <br> reason, pretext, motive <br> [sound:4c-k-理由.mp3]
reason, pretext, motive	<b>理由</b> <br> りゆう <br> [sound:4c-k-理由.mp3]
[sound:4c-s-彼が遅れた理由を説明してください。.mp3]	<b>彼が遅れた理由を説明してください。</b> <br> かれがおくれたりゆうをせつめいしてください。 <br><br> (理由) <br> Please explain the reason why he was late.
彼が遅れた理由を説明してください。 <br><br> (理由)	<b>かれがおくれたりゆうをせつめいしてください。</b> <br> Please explain the reason why he was late. <br> [sound:4c-s-彼が遅れた理由を説明してください。.mp3]
Please explain the reason why he was late.	<b>彼が遅れた理由を説明してください。</b> <br> かれがおくれたりゆうをせつめいしてください。 <br><br> (理由) <br> [sound:4c-s-彼が遅れた理由を説明してください。.mp3]
[sound:4c-k-調べ.mp3]	<b>調べ</b> <br> しらべ <br> investigation, inspection, examination; tune, note, melody
調べ	<b>しらべ</b> <br> investigation, inspection, examination; tune, note, melody <br> [sound:4c-k-調べ.mp3]
investigation, inspection, examination; tune, note, melody	<b>調べ</b> <br> しらべ <br> [sound:4c-k-調べ.mp3]
[sound:4c-s-彼は新しい情報を調べています。.mp3]	<b>彼は新しい情報を調べています。</b> <br> かれはあたらしいじょうほうをしらべています。 <br><br> (調べ) <br> He is looking up new information.
彼は新しい情報を調べています。 <br><br> (調べ)	<b>かれはあたらしいじょうほうをしらべています。</b> <br> He is looking up new information. <br> [sound:4c-s-彼は新しい情報を調べています。.mp3]
He is looking up new information.	<b>彼は新しい情報を調べています。</b> <br> かれはあたらしいじょうほうをしらべています。 <br><br> (調べ) <br> [sound:4c-s-彼は新しい情報を調べています。.mp3]
[sound:4c-k-調査.mp3]	<b>調査</b> <br> ちょうさ <br> investigation, examination, inquiry, enquiry, survey
調査	<b>ちょうさ</b> <br> investigation, examination, inquiry, enquiry, survey <br> [sound:4c-k-調査.mp3]
investigation, examination, inquiry, enquiry, survey	<b>調査</b> <br> ちょうさ <br> [sound:4c-k-調査.mp3]
[sound:4c-s-環境問題の調査を実施しました。.mp3]	<b>環境問題の調査を実施しました。</b> <br> かんきょうもんだいのちょうさをじっししました。 <br><br> (調査) <br> I conducted a survey on environmental issues.
環境問題の調査を実施しました。 <br><br> (調査)	<b>かんきょうもんだいのちょうさをじっししました。</b> <br> I conducted a survey on environmental issues. <br> [sound:4c-s-環境問題の調査を実施しました。.mp3]
I conducted a survey on environmental issues.	<b>環境問題の調査を実施しました。</b> <br> かんきょうもんだいのちょうさをじっししました。 <br><br> (調査) <br> [sound:4c-s-環境問題の調査を実施しました。.mp3]
[sound:4c-k-調整.mp3]	<b>調整</b> <br> ちょうせい <br> regulation, adjustment, tuning, modification, alteration
調整	<b>ちょうせい</b> <br> regulation, adjustment, tuning, modification, alteration <br> [sound:4c-k-調整.mp3]
regulation, adjustment, tuning, modification, alteration	<b>調整</b> <br> ちょうせい <br> [sound:4c-k-調整.mp3]
[sound:4c-s-計画を調整する必要があります。.mp3]	<b>計画を調整する必要があります。</b> <br> けいかくをちょうせいするひつようがあります。 <br><br> (調整) <br> We need to adjust the plan.
計画を調整する必要があります。 <br><br> (調整)	<b>けいかくをちょうせいするひつようがあります。</b> <br> We need to adjust the plan. <br> [sound:4c-s-計画を調整する必要があります。.mp3]
We need to adjust the plan.	<b>計画を調整する必要があります。</b> <br> けいかくをちょうせいするひつようがあります。 <br><br> (調整) <br> [sound:4c-s-計画を調整する必要があります。.mp3]
[sound:4c-k-協調.mp3]	<b>協調</b> <br> きょうちょう <br> cooperation, conciliation, harmony; firm (market) tone
協調	<b>きょうちょう</b> <br> cooperation, conciliation, harmony; firm (market) tone <br> [sound:4c-k-協調.mp3]
cooperation, conciliation, harmony; firm (market) tone	<b>協調</b> <br> きょうちょう <br> [sound:4c-k-協調.mp3]
[sound:4c-s-チームは協調して作業を進めました。.mp3]	<b>チームは協調して作業を進めました。</b> <br> チームはきょうちょうしてさぎょうをすすめました。 <br><br> (協調) <br> The team worked together cooperatively.
