national policy	<b>国策</b> <br> こくさく <br> [sound:4c-k-国策.mp3]
[sound:4c-s-国策として、新しいエネルギー政策が導入されました。.mp3]	<b>国策として、新しいエネルギー政策が導入されました。</b> <br> こくさくとして、あたらしいえねるぎーせいさくがどうにゅうされました。 <br><br> (国策) <br> A new energy policy was introduced as a national strategy.
国策として、新しいエネルギー政策が導入されました。 <br><br> (国策)	<b>こくさくとして、あたらしいえねるぎーせいさくがどうにゅうされました。</b> <br> A new energy policy was introduced as a national strategy. <br> [sound:4c-s-国策として、新しいエネルギー政策が導入されました。.mp3]
A new energy policy was introduced as a national strategy.	<b>国策として、新しいエネルギー政策が導入されました。</b> <br> こくさくとして、あたらしいえねるぎーせいさくがどうにゅうされました。 <br><br> (国策) <br> [sound:4c-s-国策として、新しいエネルギー政策が導入されました。.mp3]
[sound:4c-k-集める.mp3]	<b>集める</b> <br> あつめる <br> to collect, to assemble, to gather
集める	<b>あつめる</b> <br> to collect, to assemble, to gather <br> [sound:4c-k-集める.mp3]
to collect, to assemble, to gather	<b>集める</b> <br> あつめる <br> [sound:4c-k-集める.mp3]
[sound:4c-s-彼は古い切手を集めています。.mp3]	<b>彼は古い切手を集めています。</b> <br> かれはふるいきってをあつめています。 <br><br> (集める) <br> He is collecting old stamps.
彼は古い切手を集めています。 <br><br> (集める)	<b>かれはふるいきってをあつめています。</b> <br> He is collecting old stamps. <br> [sound:4c-s-彼は古い切手を集めています。.mp3]
He is collecting old stamps.	<b>彼は古い切手を集めています。</b> <br> かれはふるいきってをあつめています。 <br><br> (集める) <br> [sound:4c-s-彼は古い切手を集めています。.mp3]
[sound:4c-k-集会.mp3]	<b>集会</b> <br> しゅうかい <br> meeting, assembly
集会	<b>しゅうかい</b> <br> meeting, assembly <br> [sound:4c-k-集会.mp3]
meeting, assembly	<b>集会</b> <br> しゅうかい <br> [sound:4c-k-集会.mp3]
[sound:4c-s-明日、学校で集会があります。.mp3]	<b>明日、学校で集会があります。</b> <br> あした、がっこうでしゅうかいがあります。 <br><br> (集会) <br> There is a meeting at school tomorrow.
明日、学校で集会があります。 <br><br> (集会)	<b>あした、がっこうでしゅうかいがあります。</b> <br> There is a meeting at school tomorrow. <br> [sound:4c-s-明日、学校で集会があります。.mp3]
There is a meeting at school tomorrow.	<b>明日、学校で集会があります。</b> <br> あした、がっこうでしゅうかいがあります。 <br><br> (集会) <br> [sound:4c-s-明日、学校で集会があります。.mp3]
[sound:4c-k-集.mp3]	<b>集</b> <br> しゅう <br> collection, compilation
集	<b>しゅう</b> <br> collection, compilation <br> [sound:4c-k-集.mp3]
collection, compilation	<b>集</b> <br> しゅう <br> [sound:4c-k-集.mp3]
[sound:4c-s-みんなが集まって会議が始まりました。.mp3]	<b>みんなが集まって会議が始まりました。</b> <br> みんながあつまってかいぎがはじまりました。 <br><br> (集) <br> Everyone gathered and the meeting started.
みんなが集まって会議が始まりました。 <br><br> (集)	<b>みんながあつまってかいぎがはじまりました。</b> <br> Everyone gathered and the meeting started. <br> [sound:4c-s-みんなが集まって会議が始まりました。.mp3]
Everyone gathered and the meeting started.	<b>みんなが集まって会議が始まりました。</b> <br> みんながあつまってかいぎがはじまりました。 <br><br> (集) <br> [sound:4c-s-みんなが集まって会議が始まりました。.mp3]
[sound:4c-k-特集.mp3]	<b>特集</b> <br> とくしゅう <br> feature (e.g. newspaper), special edition, report
特集	<b>とくしゅう</b> <br> feature (e.g. newspaper), special edition, report <br> [sound:4c-k-特集.mp3]
feature (e.g. newspaper), special edition, report	<b>特集</b> <br> とくしゅう <br> [sound:4c-k-特集.mp3]
[sound:4c-s-この雑誌はスポーツの特集があります。.mp3]	<b>この雑誌はスポーツの特集があります。</b> <br> このざっきはすぽーつのとくしゅうがあります。 <br><br> (特集) <br> This magazine has a special feature on sports.
この雑誌はスポーツの特集があります。 <br><br> (特集)	<b>このざっきはすぽーつのとくしゅうがあります。</b> <br> This magazine has a special feature on sports. <br> [sound:4c-s-この雑誌はスポーツの特集があります。.mp3]
This magazine has a special feature on sports.	<b>この雑誌はスポーツの特集があります。</b> <br> このざっきはすぽーつのとくしゅうがあります。 <br><br> (特集) <br> [sound:4c-s-この雑誌はスポーツの特集があります。.mp3]
[sound:4c-k-在る.mp3]	<b>在る</b> <br> ある <br> to be (usu. of inanimate objects), to exist, to live; to have; to be located; to be equipped with; to happen, to come about
在る	<b>ある</b> <br> to be (usu. of inanimate objects), to exist, to live; to have; to be located; to be equipped with; to happen, to come about <br> [sound:4c-k-在る.mp3]
to be (usu. of inanimate objects), to exist, to live; to have; to be located; to be equipped with; to happen, to come about	<b>在る</b> <br> ある <br> [sound:4c-k-在る.mp3]
[sound:4c-s-あそこに大きな公園が在ります。.mp3]	<b>あそこに大きな公園が在ります。</b> <br> あそこにおおきなこうえんがあります。 <br><br> (在る) <br> There is a large park over there.
あそこに大きな公園が在ります。 <br><br> (在る)	<b>あそこにおおきなこうえんがあります。</b> <br> There is a large park over there. <br> [sound:4c-s-あそこに大きな公園が在ります。.mp3]
There is a large park over there.	<b>あそこに大きな公園が在ります。</b> <br> あそこにおおきなこうえんがあります。 <br><br> (在る) <br> [sound:4c-s-あそこに大きな公園が在ります。.mp3]
[sound:4c-k-現在.mp3]	<b>現在</b> <br> げんざい <br> now, current, present, present time, as of
現在	<b>げんざい</b> <br> now, current, present, present time, as of <br> [sound:4c-k-現在.mp3]
now, current, present, present time, as of	<b>現在</b> <br> げんざい <br> [sound:4c-k-現在.mp3]
[sound:4c-s-現在、プロジェクトは進行中です。.mp3]	<b>現在、プロジェクトは進行中です。</b> <br> げんざい、ぷろじぇくとはしんこうちゅうです。 <br><br> (現在) <br> Currently, the project is in progress.
現在、プロジェクトは進行中です。 <br><br> (現在)	<b>げんざい、ぷろじぇくとはしんこうちゅうです。</b> <br> Currently, the project is in progress. <br> [sound:4c-s-現在、プロジェクトは進行中です。.mp3]
Currently, the project is in progress.	<b>現在、プロジェクトは進行中です。</b> <br> げんざい、ぷろじぇくとはしんこうちゅうです。 <br><br> (現在) <br> [sound:4c-s-現在、プロジェクトは進行中です。.mp3]
[sound:4c-k-在宅.mp3]	<b>在宅</b> <br> ざいたく <br> being in, being at home
在宅	<b>ざいたく</b> <br> being in, being at home <br> [sound:4c-k-在宅.mp3]
being in, being at home	<b>在宅</b> <br> ざいたく <br> [sound:4c-k-在宅.mp3]
[sound:4c-s-在宅勤務をしています。.mp3]	<b>在宅勤務をしています。</b> <br> ざいたくきんむをしています。 <br><br> (在宅) <br> I am working from home.
在宅勤務をしています。 <br><br> (在宅)	<b>ざいたくきんむをしています。</b> <br> I am working from home. <br> [sound:4c-s-在宅勤務をしています。.mp3]
I am working from home.	<b>在宅勤務をしています。</b> <br> ざいたくきんむをしています。 <br><br> (在宅) <br> [sound:4c-s-在宅勤務をしています。.mp3]
[sound:4c-k-不在.mp3]	<b>不在</b> <br> ふざい <br> absence
不在	<b>ふざい</b> <br> absence <br> [sound:4c-k-不在.mp3]
absence	<b>不在</b> <br> ふざい <br> [sound:4c-k-不在.mp3]
[sound:4c-s-彼は今不在です。.mp3]	<b>彼は今不在です。</b> <br> かれはいまふざいです。 <br><br> (不在) <br> He is absent right now.
彼は今不在です。 <br><br> (不在)	<b>かれはいまふざいです。</b> <br> He is absent right now. <br> [sound:4c-s-彼は今不在です。.mp3]
He is absent right now.	<b>彼は今不在です。</b> <br> かれはいまふざいです。 <br><br> (不在) <br> [sound:4c-s-彼は今不在です。.mp3]
[sound:4c-k-件.mp3]	<b>件</b> <br> けん <br> matter, case, item
件	<b>けん</b> <br> matter, case, item <br> [sound:4c-k-件.mp3]
matter, case, item	<b>件</b> <br> けん <br> [sound:4c-k-件.mp3]
[sound:4c-s-その件についてお話ししましょう。.mp3]	<b>その件についてお話ししましょう。</b> <br> そのけんについておはなししましょう。 <br><br> (件) <br> Let’s talk about that matter.
その件についてお話ししましょう。 <br><br> (件)	<b>そのけんについておはなししましょう。</b> <br> Let’s talk about that matter. <br> [sound:4c-s-その件についてお話ししましょう。.mp3]
Let’s talk about that matter.	<b>その件についてお話ししましょう。</b> <br> そのけんについておはなししましょう。 <br><br> (件) <br> [sound:4c-s-その件についてお話ししましょう。.mp3]
[sound:4c-k-事件.mp3]	<b>事件</b> <br> じけん <br> event, affair, incident, case, plot, trouble, scandal
事件	<b>じけん</b> <br> event, affair, incident, case, plot, trouble, scandal <br> [sound:4c-k-事件.mp3]
event, affair, incident, case, plot, trouble, scandal	<b>事件</b> <br> じけん <br> [sound:4c-k-事件.mp3]
[sound:4c-s-昨日、大きな事件が起こりました。.mp3]	<b>昨日、大きな事件が起こりました。</b> <br> きのう、おおきなじけんがおこりました。 <br><br> (事件) <br> A major incident occurred yesterday.
昨日、大きな事件が起こりました。 <br><br> (事件)	<b>きのう、おおきなじけんがおこりました。</b> <br> A major incident occurred yesterday. <br> [sound:4c-s-昨日、大きな事件が起こりました。.mp3]
A major incident occurred yesterday.	<b>昨日、大きな事件が起こりました。</b> <br> きのう、おおきなじけんがおこりました。 <br><br> (事件) <br> [sound:4c-s-昨日、大きな事件が起こりました。.mp3]
[sound:4c-k-要件.mp3]	<b>要件</b> <br> ようけん <br> requirement, important matter
要件	<b>ようけん</b> <br> requirement, important matter <br> [sound:4c-k-要件.mp3]
requirement, important matter	<b>要件</b> <br> ようけん <br> [sound:4c-k-要件.mp3]
[sound:4c-s-このプロジェクトにはいくつかの要件があります。.mp3]	<b>このプロジェクトにはいくつかの要件があります。</b> <br> このぷろじぇくとにはいくつかのようけんがあります。 <br><br> (要件) <br> This project has several requirements.
