tender, kind, gentle, graceful, affectionate, amiable, suave	<b>優しい</b> <br> やさしい <br> [sound:4c-k-優しい.mp3]
[sound:4c-s-彼はとても優しい人です。.mp3]	<b>彼はとても優しい人です。</b> <br> かれはとてもやさしいひとです。 <br><br> (優しい) <br> He is a very kind person.
彼はとても優しい人です。 <br><br> (優しい)	<b>かれはとてもやさしいひとです。</b> <br> He is a very kind person. <br> [sound:4c-s-彼はとても優しい人です。.mp3]
He is a very kind person.	<b>彼はとても優しい人です。</b> <br> かれはとてもやさしいひとです。 <br><br> (優しい) <br> [sound:4c-s-彼はとても優しい人です。.mp3]
[sound:4c-k-夫妻.mp3]	<b>夫妻</b> <br> ふさい <br> man and wife, married couple
夫妻	<b>ふさい</b> <br> man and wife, married couple <br> [sound:4c-k-夫妻.mp3]
man and wife, married couple	<b>夫妻</b> <br> ふさい <br> [sound:4c-k-夫妻.mp3]
[sound:4c-s-夫妻は一緒に旅行に行きました。.mp3]	<b>夫妻は一緒に旅行に行きました。</b> <br> ふさいはいっしょにりょこうにいきました。 <br><br> (夫妻) <br> The couple went on a trip together.
夫妻は一緒に旅行に行きました。 <br><br> (夫妻)	<b>ふさいはいっしょにりょこうにいきました。</b> <br> The couple went on a trip together. <br> [sound:4c-s-夫妻は一緒に旅行に行きました。.mp3]
The couple went on a trip together.	<b>夫妻は一緒に旅行に行きました。</b> <br> ふさいはいっしょにりょこうにいきました。 <br><br> (夫妻) <br> [sound:4c-s-夫妻は一緒に旅行に行きました。.mp3]
[sound:4c-k-工夫.mp3]	<b>工夫</b> <br> くふう <br> scheme, device, scheming, devising, figuring out, coming up with, solving ingeniously; dedication to spiritual improvement (esp. through Zen meditation)
工夫	<b>くふう</b> <br> scheme, device, scheming, devising, figuring out, coming up with, solving ingeniously; dedication to spiritual improvement (esp. through Zen meditation) <br> [sound:4c-k-工夫.mp3]
scheme, device, scheming, devising, figuring out, coming up with, solving ingeniously; dedication to spiritual improvement (esp. through Zen meditation)	<b>工夫</b> <br> くふう <br> [sound:4c-k-工夫.mp3]
[sound:4c-s-彼は問題を解決するために工夫を凝らしました。.mp3]	<b>彼は問題を解決するために工夫を凝らしました。</b> <br> かれはもんだいをかいけつするためにくふうをこらしました。 <br><br> (工夫) <br> He came up with creative solutions to solve the problem.
彼は問題を解決するために工夫を凝らしました。 <br><br> (工夫)	<b>かれはもんだいをかいけつするためにくふうをこらしました。</b> <br> He came up with creative solutions to solve the problem. <br> [sound:4c-s-彼は問題を解決するために工夫を凝らしました。.mp3]
He came up with creative solutions to solve the problem.	<b>彼は問題を解決するために工夫を凝らしました。</b> <br> かれはもんだいをかいけつするためにくふうをこらしました。 <br><br> (工夫) <br> [sound:4c-s-彼は問題を解決するために工夫を凝らしました。.mp3]
[sound:4c-k-大丈夫.mp3]	<b>大丈夫</b> <br> だいじょうぶ <br> safe, all right, OK, okay
大丈夫	<b>だいじょうぶ</b> <br> safe, all right, OK, okay <br> [sound:4c-k-大丈夫.mp3]
safe, all right, OK, okay	<b>大丈夫</b> <br> だいじょうぶ <br> [sound:4c-k-大丈夫.mp3]
[sound:4c-s-大丈夫ですよ、心配しないでください。.mp3]	<b>大丈夫ですよ、心配しないでください。</b> <br> だいじょうぶですよ、しんぱいしないでください。 <br><br> (大丈夫) <br> It's okay, don't worry.
大丈夫ですよ、心配しないでください。 <br><br> (大丈夫)	<b>だいじょうぶですよ、しんぱいしないでください。</b> <br> It's okay, don't worry. <br> [sound:4c-s-大丈夫ですよ、心配しないでください。.mp3]
It's okay, don't worry.	<b>大丈夫ですよ、心配しないでください。</b> <br> だいじょうぶですよ、しんぱいしないでください。 <br><br> (大丈夫) <br> [sound:4c-s-大丈夫ですよ、心配しないでください。.mp3]
[sound:4c-k-丈夫.mp3]	<b>丈夫</b> <br> じょうぶ <br> healthy, robust, strong, solid, durable
丈夫	<b>じょうぶ</b> <br> healthy, robust, strong, solid, durable <br> [sound:4c-k-丈夫.mp3]
healthy, robust, strong, solid, durable	<b>丈夫</b> <br> じょうぶ <br> [sound:4c-k-丈夫.mp3]
[sound:4c-s-この靴は非常に丈夫です。.mp3]	<b>この靴は非常に丈夫です。</b> <br> このくつはひじょうにじょうぶです。 <br><br> (丈夫) <br> These shoes are very durable.
この靴は非常に丈夫です。 <br><br> (丈夫)	<b>このくつはひじょうにじょうぶです。</b> <br> These shoes are very durable. <br> [sound:4c-s-この靴は非常に丈夫です。.mp3]
These shoes are very durable.	<b>この靴は非常に丈夫です。</b> <br> このくつはひじょうにじょうぶです。 <br><br> (丈夫) <br> [sound:4c-s-この靴は非常に丈夫です。.mp3]
[sound:4c-k-研究者.mp3]	<b>研究者</b> <br> けんきゅうしゃ <br> researcher
研究者	<b>けんきゅうしゃ</b> <br> researcher <br> [sound:4c-k-研究者.mp3]
researcher	<b>研究者</b> <br> けんきゅうしゃ <br> [sound:4c-k-研究者.mp3]
[sound:4c-s-その研究者は新しい技術を開発しています。.mp3]	<b>その研究者は新しい技術を開発しています。</b> <br> そのけんきゅうしゃはあたらしいぎじゅつをかいはつしています。 <br><br> (研究者) <br> The researcher is developing new technology.
その研究者は新しい技術を開発しています。 <br><br> (研究者)	<b>そのけんきゅうしゃはあたらしいぎじゅつをかいはつしています。</b> <br> The researcher is developing new technology. <br> [sound:4c-s-その研究者は新しい技術を開発しています。.mp3]
The researcher is developing new technology.	<b>その研究者は新しい技術を開発しています。</b> <br> そのけんきゅうしゃはあたらしいぎじゅつをかいはつしています。 <br><br> (研究者) <br> [sound:4c-s-その研究者は新しい技術を開発しています。.mp3]
[sound:4c-k-研究員.mp3]	<b>研究員</b> <br> けんきゅういん <br> researcher
研究員	<b>けんきゅういん</b> <br> researcher <br> [sound:4c-k-研究員.mp3]
researcher	<b>研究員</b> <br> けんきゅういん <br> [sound:4c-k-研究員.mp3]
[sound:4c-s-研究員は新しい発見をしました。.mp3]	<b>研究員は新しい発見をしました。</b> <br> けんきゅういんはあたらしいはっけんをしました。 <br><br> (研究員) <br> The researcher made a new discovery.
研究員は新しい発見をしました。 <br><br> (研究員)	<b>けんきゅういんはあたらしいはっけんをしました。</b> <br> The researcher made a new discovery. <br> [sound:4c-s-研究員は新しい発見をしました。.mp3]
The researcher made a new discovery.	<b>研究員は新しい発見をしました。</b> <br> けんきゅういんはあたらしいはっけんをしました。 <br><br> (研究員) <br> [sound:4c-s-研究員は新しい発見をしました。.mp3]
[sound:4c-k-研究室.mp3]	<b>研究室</b> <br> けんきゅうしつ <br> laboratory; seminar room; professor's office
研究室	<b>けんきゅうしつ</b> <br> laboratory; seminar room; professor's office <br> [sound:4c-k-研究室.mp3]
laboratory; seminar room; professor's office	<b>研究室</b> <br> けんきゅうしつ <br> [sound:4c-k-研究室.mp3]
[sound:4c-s-彼の研究室は大学の最上階にあります。.mp3]	<b>彼の研究室は大学の最上階にあります。</b> <br> かれのけんきゅうしつはだいがくのさいじょうかいにあります。 <br><br> (研究室) <br> His laboratory is on the top floor of the university.
