[sound:4c-k-着工.mp3]	<b>着工</b> <br> ちゃっこう <br> start of (construction) work
着工	<b>ちゃっこう</b> <br> start of (construction) work <br> [sound:4c-k-着工.mp3]
start of (construction) work	<b>着工</b> <br> ちゃっこう <br> [sound:4c-k-着工.mp3]
[sound:4c-s-このプロジェクトは来月から着工します。.mp3]	<b>このプロジェクトは来月から着工します。</b> <br> ひこうきはぶじにちゃくりくしました。 <br><br> (着工) <br> The airplane landed safely.
このプロジェクトは来月から着工します。 <br><br> (着工)	<b>ひこうきはぶじにちゃくりくしました。</b> <br> The airplane landed safely. <br> [sound:4c-s-このプロジェクトは来月から着工します。.mp3]
The airplane landed safely.	<b>このプロジェクトは来月から着工します。</b> <br> ひこうきはぶじにちゃくりくしました。 <br><br> (着工) <br> [sound:4c-s-このプロジェクトは来月から着工します。.mp3]
[sound:4c-k-着陸.mp3]	<b>着陸</b> <br> ちゃくりく <br> landing, alighting, touch down
着陸	<b>ちゃくりく</b> <br> landing, alighting, touch down <br> [sound:4c-k-着陸.mp3]
landing, alighting, touch down	<b>着陸</b> <br> ちゃくりく <br> [sound:4c-k-着陸.mp3]
[sound:4c-s-飛行機は無事に着陸しました。.mp3]	<b>飛行機は無事に着陸しました。</b> <br> かれはくるまにわたしをのせてくれました。 <br><br> (着陸) <br> He gave me a ride in his car.
飛行機は無事に着陸しました。 <br><br> (着陸)	<b>かれはくるまにわたしをのせてくれました。</b> <br> He gave me a ride in his car. <br> [sound:4c-s-飛行機は無事に着陸しました。.mp3]
He gave me a ride in his car.	<b>飛行機は無事に着陸しました。</b> <br> かれはくるまにわたしをのせてくれました。 <br><br> (着陸) <br> [sound:4c-s-飛行機は無事に着陸しました。.mp3]
[sound:4c-k-乗せる.mp3]	<b>乗せる</b> <br> のせる <br> to place on (something), to take on board, to give a ride, to let (one) take part, to impose on, to record, to mention, to load (luggage), to publish, to run (an ad)
乗せる	<b>のせる</b> <br> to place on (something), to take on board, to give a ride, to let (one) take part, to impose on, to record, to mention, to load (luggage), to publish, to run (an ad) <br> [sound:4c-k-乗せる.mp3]
to place on (something), to take on board, to give a ride, to let (one) take part, to impose on, to record, to mention, to load (luggage), to publish, to run (an ad)	<b>乗せる</b> <br> のせる <br> [sound:4c-k-乗せる.mp3]
[sound:4c-s-彼は車に私を乗せてくれました。.mp3]	<b>彼は車に私を乗せてくれました。</b> <br> ひこうきのじょういんはぜんいんぶじでした。 <br><br> (乗せる) <br> All the crew members of the plane were safe.
彼は車に私を乗せてくれました。 <br><br> (乗せる)	<b>ひこうきのじょういんはぜんいんぶじでした。</b> <br> All the crew members of the plane were safe. <br> [sound:4c-s-彼は車に私を乗せてくれました。.mp3]
All the crew members of the plane were safe.	<b>彼は車に私を乗せてくれました。</b> <br> ひこうきのじょういんはぜんいんぶじでした。 <br><br> (乗せる) <br> [sound:4c-s-彼は車に私を乗せてくれました。.mp3]
[sound:4c-k-乗員.mp3]	<b>乗員</b> <br> じょういん <br> crew
乗員	<b>じょういん</b> <br> crew <br> [sound:4c-k-乗員.mp3]
crew	<b>乗員</b> <br> じょういん <br> [sound:4c-k-乗員.mp3]
[sound:4c-s-飛行機の乗員は全員無事でした。.mp3]	<b>飛行機の乗員は全員無事でした。</b> <br> ふねののりくみいんはくんれんをうけています。 <br><br> (乗員) <br> The ship’s crew is undergoing training.
飛行機の乗員は全員無事でした。 <br><br> (乗員)	<b>ふねののりくみいんはくんれんをうけています。</b> <br> The ship’s crew is undergoing training. <br> [sound:4c-s-飛行機の乗員は全員無事でした。.mp3]
The ship’s crew is undergoing training.	<b>飛行機の乗員は全員無事でした。</b> <br> ふねののりくみいんはくんれんをうけています。 <br><br> (乗員) <br> [sound:4c-s-飛行機の乗員は全員無事でした。.mp3]
[sound:4c-k-乗組員.mp3]	<b>乗組員</b> <br> のりくみいん <br> crew
乗組員	<b>のりくみいん</b> <br> crew <br> [sound:4c-k-乗組員.mp3]
crew	<b>乗組員</b> <br> のりくみいん <br> [sound:4c-k-乗組員.mp3]
[sound:4c-s-船の乗組員は訓練を受けています。.mp3]	<b>船の乗組員は訓練を受けています。</b> <br> おなじくるまにあいのりしてかいしゃにいきます。 <br><br> (乗組員) <br> I carpool with others to work.
船の乗組員は訓練を受けています。 <br><br> (乗組員)	<b>おなじくるまにあいのりしてかいしゃにいきます。</b> <br> I carpool with others to work. <br> [sound:4c-s-船の乗組員は訓練を受けています。.mp3]
I carpool with others to work.	<b>船の乗組員は訓練を受けています。</b> <br> おなじくるまにあいのりしてかいしゃにいきます。 <br><br> (乗組員) <br> [sound:4c-s-船の乗組員は訓練を受けています。.mp3]
[sound:4c-k-相乗り.mp3]	<b>相乗り</b> <br> あいのり <br> riding together
相乗り	<b>あいのり</b> <br> riding together <br> [sound:4c-k-相乗り.mp3]
riding together	<b>相乗り</b> <br> あいのり <br> [sound:4c-k-相乗り.mp3]
[sound:4c-s-同じ車に相乗りして会社に行きます。.mp3]	<b>同じ車に相乗りして会社に行きます。</b> <br> あたらしいてんぽがえきまえにおーぷんしました。 <br><br> (相乗り) <br> A new store opened in front of the station.
同じ車に相乗りして会社に行きます。 <br><br> (相乗り)	<b>あたらしいてんぽがえきまえにおーぷんしました。</b> <br> A new store opened in front of the station. <br> [sound:4c-s-同じ車に相乗りして会社に行きます。.mp3]
A new store opened in front of the station.	<b>同じ車に相乗りして会社に行きます。</b> <br> あたらしいてんぽがえきまえにおーぷんしました。 <br><br> (相乗り) <br> [sound:4c-s-同じ車に相乗りして会社に行きます。.mp3]
[sound:4c-k-店舗.mp3]	<b>店舗</b> <br> てんぽ <br> shop, store
店舗	<b>てんぽ</b> <br> shop, store <br> [sound:4c-k-店舗.mp3]
shop, store	<b>店舗</b> <br> てんぽ <br> [sound:4c-k-店舗.mp3]
[sound:4c-s-新しい店舗が駅前にオープンしました。.mp3]	<b>新しい店舗が駅前にオープンしました。</b> <br> しょうてんがいでかいものをしました。 <br><br> (店舗) <br> I went shopping in the shopping district.
新しい店舗が駅前にオープンしました。 <br><br> (店舗)	<b>しょうてんがいでかいものをしました。</b> <br> I went shopping in the shopping district. <br> [sound:4c-s-新しい店舗が駅前にオープンしました。.mp3]
I went shopping in the shopping district.	<b>新しい店舗が駅前にオープンしました。</b> <br> しょうてんがいでかいものをしました。 <br><br> (店舗) <br> [sound:4c-s-新しい店舗が駅前にオープンしました。.mp3]
[sound:4c-k-商店.mp3]	<b>商店</b> <br> しょうてん <br> shop, small store, business, firm
商店	<b>しょうてん</b> <br> shop, small store, business, firm <br> [sound:4c-k-商店.mp3]
shop, small store, business, firm	<b>商店</b> <br> しょうてん <br> [sound:4c-k-商店.mp3]
[sound:4c-s-商店街で買い物をしました。.mp3]	<b>商店街で買い物をしました。</b> <br> てんとうであたらしいしょうひんがならんでいます。 <br><br> (商店) <br> New products are displayed at the storefront.
商店街で買い物をしました。 <br><br> (商店)	<b>てんとうであたらしいしょうひんがならんでいます。</b> <br> New products are displayed at the storefront. <br> [sound:4c-s-商店街で買い物をしました。.mp3]
New products are displayed at the storefront.	<b>商店街で買い物をしました。</b> <br> てんとうであたらしいしょうひんがならんでいます。 <br><br> (商店) <br> [sound:4c-s-商店街で買い物をしました。.mp3]
[sound:4c-k-店頭.mp3]	<b>店頭</b> <br> てんとう <br> shop front, counter, shop, over-the-counter (financial)
店頭	<b>てんとう</b> <br> shop front, counter, shop, over-the-counter (financial) <br> [sound:4c-k-店頭.mp3]
shop front, counter, shop, over-the-counter (financial)	<b>店頭</b> <br> てんとう <br> [sound:4c-k-店頭.mp3]
[sound:4c-s-店頭で新しい商品が並んでいます。.mp3]	<b>店頭で新しい商品が並んでいます。</b> <br> このぶらんどのほんてんはにゅーよーくにあります。 <br><br> (店頭) <br> The headquarters of this brand is in New York.
店頭で新しい商品が並んでいます。 <br><br> (店頭)	<b>このぶらんどのほんてんはにゅーよーくにあります。</b> <br> The headquarters of this brand is in New York. <br> [sound:4c-s-店頭で新しい商品が並んでいます。.mp3]
The headquarters of this brand is in New York.	<b>店頭で新しい商品が並んでいます。</b> <br> このぶらんどのほんてんはにゅーよーくにあります。 <br><br> (店頭) <br> [sound:4c-s-店頭で新しい商品が並んでいます。.mp3]
[sound:4c-k-本店.mp3]	<b>本店</b> <br> ほんてん <br> head office
本店	<b>ほんてん</b> <br> head office <br> [sound:4c-k-本店.mp3]
head office	<b>本店</b> <br> ほんてん <br> [sound:4c-k-本店.mp3]
[sound:4c-s-このブランドの本店はニューヨークにあります。.mp3]	<b>このブランドの本店はニューヨークにあります。</b> <br> かれはそのもんだいについてこうじゅつしました。 <br><br> (本店) <br> He made a public statement about the issue.
このブランドの本店はニューヨークにあります。 <br><br> (本店)	<b>かれはそのもんだいについてこうじゅつしました。</b> <br> He made a public statement about the issue. <br> [sound:4c-s-このブランドの本店はニューヨークにあります。.mp3]
He made a public statement about the issue.	<b>このブランドの本店はニューヨークにあります。</b> <br> かれはそのもんだいについてこうじゅつしました。 <br><br> (本店) <br> [sound:4c-s-このブランドの本店はニューヨークにあります。.mp3]
[sound:4c-k-公述.mp3]	<b>公述</b> <br> こうじゅつ <br> speaking at a public hearing
公述	<b>こうじゅつ</b> <br> speaking at a public hearing <br> [sound:4c-k-公述.mp3]
speaking at a public hearing	<b>公述</b> <br> こうじゅつ <br> [sound:4c-k-公述.mp3]
[sound:4c-s-彼はその問題について公述しました。.mp3]	<b>彼はその問題について公述しました。</b> <br> かれはおおくのほんをちょじゅつしています。 <br><br> (公述) <br> He has written many books.
彼はその問題について公述しました。 <br><br> (公述)	<b>かれはおおくのほんをちょじゅつしています。</b> <br> He has written many books. <br> [sound:4c-s-彼はその問題について公述しました。.mp3]
He has written many books.	<b>彼はその問題について公述しました。</b> <br> かれはおおくのほんをちょじゅつしています。 <br><br> (公述) <br> [sound:4c-s-彼はその問題について公述しました。.mp3]
[sound:4c-k-著述.mp3]	<b>著述</b> <br> ちょじゅつ <br> writing, literary work
